"","PON1","NRXN1","APOBEC2","AP3B2","CST5","GCGR","GFRA3","LMO1","CHRNA4","GABRR1","GAP43","SOD3","TMEM61","GHRH","PAK3","FRMPD4","STMN4","HCN4","ADCY2","SERPINA5","ASB4","SCG5","KCNMB2","MGAT4C","GRIA3","ATP1A2","HAND2","LCN12","SYNGR4","GRIN1","SCGN","MB","NEUROG1","DIRAS3","DSCAML1","KCNC1","PKIB","COL22A1","HAPLN2","SLC4A10","TTBK1","KCNK3","RIPPLY2","KCNJ4","RALYL","RXRG","CELF4","LHFPL5","MS4A8","RNF182","C2CD4B","GRIA2","DCX","CADM2","ZFR2","CPNE4","TCEAL5","CST2","HEPACAM","KCNA1","PCDHA8","NOVA1","PLP1","SNAP91","ONECUT2","KCNB1","C22ORF42","TAGLN3","EPHA8","PCDHB1","RGS8","GPC5","TMEM114","SYT13","GP2","VWC2L","CACNG2","COL20A1","GHSR","ZDHHC22","SOX1","AMER3","SPHKAP","C8ORF86"
"TCGA.05.4415.01A1",42,1,3,160,2,1,9,0,7,0,11,111,20,0,4,0,1,4,0,11,885,99,2,28,11,8,0,18,7,15,0,25,0,42,15,7,584,34,13,5,17,310,37,1,0,7,24,4,0,465,39,1,0,1029,15,253,0,40,0,0,4,602,0,11,87,57,4,2,2,1,1,12,0,7,1,0,0,4,0,1,0,2,3,1
"TCGA.73.4677.01A1",13,6,13,25,2,1,126,2,2,0,1,3880,61,0,2667,3,1,71,71,24,37,47,6,4,9,144,0,247,5,47,7,84,0,57,37,0,581,27,7,23,18,4402,0,1,0,82,37,6,277,47,46,2,1,7,5,168,0,80,0,2,5,51,15,7,9,16,0,11,0,7,0,87,0,285,2,0,0,0,0,2,0,1,0,0
"TCGA.86.6851.01A1",348,2,27,12,7,4,555,1,1,2,80,1263,169,0,49,3,0,44,13,95,103,135,15,129,7,95,6,126,2,278,0,198,0,43,2278,4,249,2565,3,10,103,148,0,1,0,12,42,338,66,25,874,1,0,2,793,130,0,68,4,1,13,9,9,1,2,8,0,8,4,18,79,267,0,267,10,3,0,4,1,1,0,2,0,0
"TCGA.J2.8194.01A1",27,6,30,20,6,6,1688,35,1,34,17,4573,139,0,2240,3,0,169,21,47,55,249,24,3,3,135,15,103,0,61,1,367,0,24,40,1,330,86,1,13,37,2275,1,3,1,12,55,13,285,43,148,2,2,9,8,47,2,10,0,1,35,21,4,4,247,21,2,7,0,4,1,259,0,47,30,0,0,0,1,1,0,0,4,0
"TCGA.99.8028.01A1",73,15,259,68,15,12,94,10,0,0,24,3522,140,0,59,2,1,15,31,28,16,812,47,2,3,114,3,63,4,171,0,213,0,1076,94,3,208,250,2,23,49,485,2,0,0,42,135,10,649,55,265,1,0,1,188,526,7,63,11,2,2,43,15,3,16,40,0,25,1,5,7,103,3,10,0,1,0,4,0,4,12,0,1,0
"TCGA.49.4501.01A1",196,8,23,120,346,2,1770,3,7,30,115,2958,282,0,68,2,3,16,139,261,31,996,30,11,17,320,16,11,27,165,3,71,0,627,32,2,522,277,2,71,26,561,2,0,1,53,126,26,51,32,169,2,2,31,120,53,23,1099,0,9,5,105,13,10,111,35,1,0,99,24,4,103,4,1099,20,3,0,0,0,12,21,0,3,0
"TCGA.44.6146.01A1",10,9,12,6,13,0,21,1,0,0,6,257,63,0,64,7,1,4,13,162,208,80,6,4,30,204,1,216,3,14,11,6,0,15,15,4,89,24,2,4,5,853,0,1,0,67,3,0,76,40,205,0,6,2,3,68,0,38,0,0,2,15,18,2,4,15,0,1,0,3,0,8,1,1912,1,0,0,1,0,1,1,11,3,0
"TCGA.86.8073.01A1",98,5,398,335,6,8,71,2,4,0,6,2116,9,0,55,7,1,16,50,35,201,293,53,10,1,409,1,40,15,282,0,177,0,142,43,9,1088,92,12,23,25,696,0,2,1,49,445,7,241,86,99,9,0,437,894,63,5,114,3,0,33,317,6,13,201,24,1,3,3,7,3,323,0,3,0,4,0,3,0,0,1,1,4,0
"TCGA.91.8499.01A1",50,286,5,300,1,1,80,4,0,11,82,213,30,0,198,92,1,0,900,2,0,122,47,3,1,25,0,10,69,13,3,201,0,100,592,52,657,23,3,30,230,13,8,90,557,3,389,2,50,839,13,1,23,108,5,25,184,12,0,0,15,540,1887,2,1688,5,0,60,0,245,3,2,0,154,0,1,0,3,0,0,6,0,379,12
"TCGA.L9.A5IP.01A1",16,2,3,21,0,1,9,25,1,1,53,1262,24,0,15,12,0,10,6,113,13,42,6,3,23,21,3,95,8,40,0,177,0,2496,8,2,1437,114,9,17,9,16,37,1,0,0,42,25,15,4,333,0,0,61,3,171,0,111,0,0,0,69,2,2,18,8,2,4,3,0,1,10,0,221,0,0,0,12,0,4,1,0,0,0
"TCGA.50.5946.01A1",42,1,81,39,1,3,1693,33,2,8,30,1240,23,2,3,0,0,2,13,2170,177,713,74,88,57,25,0,374,34,668,4,1227,0,259,71,0,42,28,15,460,21,1087,0,1,26,0,215,53,24,7,351,0,0,4,177,128,1,17,0,0,8,438,0,0,120,2,0,26,1,9,9,3,0,63,0,3,1,2,0,1654,1,0,0,0
"TCGA.55.7574.01A1",11,10,10,23,3,4,385,1,3,2,15,1097,74,0,146,1,2,5,51,385,9,168,6,2,11,127,0,30,1,42,1,142,0,37,23,1,47,119,4,21,13,684,1,0,0,40,47,2,30,23,64,2,1,11,5,68,4,23,3,2,4,34,1,15,15,82,0,1,1,6,5,34,0,485,2,3,0,5,0,1,0,1,0,0
"TCGA.49.4505.01A1",1514,7,107,398,81,0,765,4,2,3,21,4053,395,0,43,5,0,18,43,40,100,1625,51,7,13,335,7,32,31,169,16,977,0,153,30,2,1219,119,10,17,55,522,0,1,0,71,163,42,278,46,203,10,1,168,8,551,4,693,1,7,3,305,13,8,84,27,0,1,7,6,5,7,1,231,4,3,0,1,0,3,2,9,4,0
"TCGA.L9.A50W.01A1",142,2,113,92,56,5,5055,5,3,0,4,6578,47,0,5,0,0,0,40,21,117,460,2,0,0,74,0,343,15,200,2,13,0,193,21,2,295,1075,16,5,84,317,0,0,0,9,33,17,88,23,617,5,1,23,6,30,0,332,1,0,2,67,6,0,39,6,1,4,4,8,16,5,0,2,0,2,2,4,0,2,1,0,0,0
"TCGA.50.8457.01A1",156,21,25,63,34,2,5409,2,10,7,3,2909,150,3,111,7,0,16,65,44,158,35,15,2,9,759,1,31,4,44,1,127,0,356,106,1,165,82,10,8,21,146,1,1,0,18,84,2,257,35,63,0,2,16,1312,59,9,146,0,9,3,81,15,26,39,28,0,3,2,2,5,40,0,6,0,2,0,4,0,0,181,1,12,0
"TCGA.49.AARN.01A1",245,18,21,79,4,15,44,6,5,5,31,554,117,0,33,2,0,20,30,275,9,473,15,3,15,74,146,110,15,52,153,86,0,287,18,9,211,445,3,10,23,142,1,1,5,15,12,9,356,30,20,9,2,18,2,51,1,245,0,1,0,103,37,27,717,79,3,8,1,1,1,7,1,1557,3,2,0,10,1,4,88,10,1,0
"TCGA.86.6562.01A1",74,5,8,11,13,0,1256,0,0,0,26,1424,87,0,21,3,0,0,18,11,52,175,2,0,12,49,0,16,86,61,0,1186,0,23,84,0,68,56,1,18,21,318,0,0,0,7,37,2,16,37,56,2,0,160,0,398,6,94,0,2,2,305,8,1,2,12,0,1,0,1,7,105,0,5,0,1,0,0,1,1,0,0,1,0
"TCGA.NJ.A55R.01A1",252,1240,15,2451,12,69,625,40,10,17,270,4534,904,4,1005,1,47,1142,1542,657,184,7803,37,108,50,322,1,1865,341,95,5602,724,0,173,815,372,257,5454,73,35,76,8509,140,0,1,25,2644,103,3694,32,900,30,1,60,6,232,8,330,3,3,63,1129,6,577,1957,327,0,1159,509,150,2,179,27,38026,2116,9,252,128,0,35,0,819,1,5
"TCGA.64.1678.01A1",16,2,3,3,0,2,5035,1,0,0,1,129,39,0,74,0,12,2,1,7,6,2911,4,0,1,1,0,156,24,43,20,2172,0,8,7,1,353,6,10,4,6,39,1,0,0,1,49,5,12,30,89,0,0,6,0,25,0,7,0,0,0,28,16,10,8,1,0,1,2,0,0,5,0,1683,0,0,0,3,0,1,0,1,0,1
"TCGA.35.4123.01A1",40,1,123,37,2,21,57,2,2,3,21,571,194,1,23,0,0,1,51,15,484,1397,1,5,4,13,0,47,18,807,0,330,0,30,122,0,1091,52,1,20,10,60,0,0,0,4,61,30,2,15,23,0,0,124,515,46,0,60,1,3,0,126,3,1,49,5,1,59,0,3,5,2,0,35,0,0,5,3,0,0,0,0,0,0
"TCGA.55.A493.01A1",31,8,5,5,0,11,15,44,1,0,374,1063,122,0,351,0,1,13,4,301,713,869,1,23,15,21,2,63,11,236,0,493,0,21,221,3,2006,129,4,23,32,184,1,0,0,4,51,13,16,7,32,108,3,4,7,107,9,10,0,0,3,80,1,1,122,46,0,6,55,6,15,6,10,1474,2,2,2,13,0,0,0,1,0,0
"TCGA.86.8281.01A1",21,1,23,13,49,0,522,7,0,3,12,5641,42,0,4303,4,0,305,75,30,56,64,2,1,25,211,3,186,2,84,3,230,0,39,32,0,168,90,4,21,17,1514,0,1,0,21,122,33,148,30,21,0,2,2,1,221,1,280,0,0,17,25,0,5,26,33,0,1,1,4,6,193,1,15,0,0,0,0,0,1,0,0,0,0
"TCGA.55.A48X.01A1",123,21,31,49,12,5,262,1,9,2,8,1099,99,0,67,3,1,59,74,88,53,194,40,1,24,300,3,293,1,207,5,212,0,154,140,7,368,65,4,15,28,320,1,3,0,63,73,17,1000,23,104,10,1,156,512,186,4,254,1,42,30,95,10,40,6,52,2,21,0,15,1,255,0,27,23,3,1,1,0,0,0,4,5,0
"TCGA.05.4427.01A1",10,0,71,10,0,3,222,0,0,0,4,571,184,0,8,0,0,1,6,7,8,2259,12,51,3,12,0,25,4,149,0,6,0,2891,3,0,80,55,7,8,23,61,0,1,0,6,5,59,2,55,23,5,0,1,2,567,42,0,2,0,7,7,0,1,111,4,0,5,0,12,4,53,0,3,0,1,0,0,1,2,0,0,0,0
"TCGA.75.7027.01A1",17,4,15,11,3,1,241,40,0,4,335,2366,61,0,255,1,0,34,21,426,25,577,15,0,9,21,0,122,338,15,2,661,0,27,25,2,3721,357,7,17,30,134,4,2,0,6,27,3,103,26,59,4,0,2,5,66,1,59,0,1,10,106,4,8,8,3,0,3,0,5,6,15,0,47805,3,1,1,2,0,3,0,0,2,1
"TCGA.44.5643.01A1",0,0,3,148,1,1,50,6,0,226,4,177,1,3,191,0,1,20,97,3,0,24,60,1,1,9,0,51,4,7,1,574,0,11,17,3,111,324,0,1,12,47,90,1,0,8,5,2,5,21,24,1,2,0,3,1,0,30,0,11,0,27,4,5,32,2,0,42,2,0,6,1,0,6,0,0,6,2,0,0,0,2,0,0
"TCGA.MP.A5C7.01A1",13,2,21,2,17,15,6091,1,3,4,4,5529,8,0,3589,4,3,877,52,1,47,1280,2,1,6,153,0,518,4,87,3,205,0,82,123,8,166,15,8,7,84,10721,0,1,0,13,160,3,98,30,113,1,0,2,2,61,0,75,1,0,2,139,1,0,6,2,0,1,0,0,1,1251,2,3,10,1,2,1,0,0,0,0,0,1
"TCGA.55.5899.01A1",9,1441,53,1086,0,4,6,4,1,1,351,717,391,0,39,0,3,230,290,13,239,2790,63,498,30,15,1,46,74,554,914,5,0,33,16,63,845,7557,3,85,26,5560,140,0,0,4,1600,71,677,10,2292,1580,5,44,404,323,0,144,1,5,3,1505,1,80,1978,78,0,303,85,3,0,2,59,2142,46,8,8,0,0,113,0,153,0,12
"TCGA.05.4425.01A1",65,1,228,261,16,1,1575,0,1,2,332,1266,223,0,55,10,0,0,40,13,18,1713,1,2,7,4,2,23,7,63,1,114,0,63,34,1,278,1003,0,13,16,249,0,1,0,175,16,2,74,7,851,3,0,15,2,389,0,351,1,0,2,926,2,1,57,11,2,6,0,74,4,4,0,4,0,0,0,1,0,0,0,0,0,0
"TCGA.50.5939.01A1",3,2,2,81,7,1,21,2,5,0,15,677,98,0,25,0,0,25,5,238,21,63,1,2,3,31,0,10,2,42,0,530,0,15,10,0,282,314,0,2,4,175,0,0,0,18,35,16,9,21,61,1,0,4,2,40,1,5,1,1,6,277,1,0,381,56,0,0,0,1,3,7,2,40,2,0,0,2,1,1,0,0,1,0
"TCGA.91.A4BC.01A1",8,2,6,37,0,7,601,2,0,5,6,2146,92,0,362,1,1,3,16,63,1698,771,5,1,6,5,7,163,6,21,13,82,0,143,25,10,40,133,12,7,94,267,13,0,0,3,133,2,60,9,364,6,0,4,12,1,0,9,0,0,6,285,2,6,21,3,0,25,0,12,1,6,0,8,775,0,0,240,2,0,0,7,5,0
"TCGA.49.AARQ.01A1",32,6,7,13,2,304,184,9,0,0,3,562,249,0,8,0,0,4,7,10,49,179,3,0,2,11,1,97,42,201,2,657,0,197,110,23,379,28,2,51,12,51,52,0,5,419,130,1,244,211,1546,34,0,114,2,250,21,1,0,0,3,840,17,74,355,1,0,23,3,4,2,9,0,1,1,0,0,7,0,0,0,0,0,0
"TCGA.91.6840.01A1",6,1,33,194,8,30,904,1,4,53,0,597,13,1,23,2,1,39,12,2887,16,103,15,1,31,134,1,217,17,33,66,55,0,113,25,9,89,771,0,2,21,1353,0,0,0,23,51,7,15,11,148,0,2,0,13,21,1,61,1,0,4,12,0,5,21,4,0,12,66,4,1,74,1,111,2,1,0,2,1,1,0,6,1,0
"TCGA.62.A46O.01A1",209,1,9,55,0,3,160,0,0,257,40,94,53,1,5,0,0,5,4,9,20,131,33,0,13,13,1,32,9,10,0,400,0,5,121,1,7672,27,0,2,0,42,12,1,0,0,7,11,51,111,101,199,2,49,10,111,3,12,0,4,13,92,2,40,13,2,0,1,2,9,0,8,0,68,1,1,0,3,0,1,0,1,2,0
"TCGA.50.5936.01A1",10,0,2,165,1,0,15,2,15,0,17,362,56,0,32,1,0,42,18,56,8,200,2,3,3,11,1,12,3,2,0,37,0,16,80,1,4626,383,1,0,3,28,0,0,0,18,32,17,0,55,66,0,1,23,0,310,2,47,0,0,21,23,2,1,229,4,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0
"TCGA.95.7562.01A1",11,15,25,5,1,1,362,4,1,0,10,706,49,0,20,4,0,5,75,3,193,135,9,0,23,1,0,42,23,188,3,683,0,114,11,4,4112,78,0,123,21,39,0,11,0,468,55,15,247,230,581,1,0,1207,1,257,5,40,4,11,1,1879,1,49,87,9,0,6,4,3,7,11,0,7,1,1,0,1,1,1,1,0,0,0
"TCGA.97.8171.01A1",43,0,200,442,4,1,1192,0,0,0,27,1160,2,0,12,1,0,4,16,4,3232,37,0,0,0,63,4,1303,1,99,1,7,0,50,1,2,139,686,2,5,220,223,0,0,7,2,305,1,4,11,61,1,0,8,2,51,0,247,0,1,6,6,6,0,199,8,0,0,1,53,1,17,2,5,1,2,0,3,0,2,0,1,1,1
"TCGA.55.6987.01A1",52,3,17,74,9,33,385,17,0,1,32,2734,130,0,734,3,5,8,21,92,47,649,20,1,17,153,0,61,9,30,2,651,0,55,18,11,735,94,0,25,47,716,0,0,3,63,113,0,107,56,172,4,33,43,10,42,2,9,1,2,1,160,8,30,122,60,0,3,0,13,18,67,0,15,15,1,0,1,2,1,0,0,0,0
"TCGA.73.4675.01A1",5,4,5,80,66,12,5,2,3,4,17,5213,94,0,679,1,3,1304,88,67,9,356,20,3,1,85,1,188,21,149,5,80,0,81,1044,3,458,232,15,2,49,403,0,0,0,4,2582,1,915,23,79,4,4,0,15,39,2,122,1,27,1,207,9,6,225,295,3,5,5,8,3,8,17,2196,0,0,0,4,0,2,3,1,3,0
"TCGA.64.5775.01A1",1,47,0,2,0,1,1,0,0,0,568,728,1,0,247,51,3,0,43,773,10,1986,3,3,212,35,0,1,3,15,0,1,0,848,0,0,2580,1133,7,7,0,80,0,0,0,2,1,32,0,562,15,0,0,78,0,80,21,0,1,3,7,549,113,3,59,90,0,1580,0,0,2,2,0,0,0,0,0,0,0,55,0,0,1,1
"TCGA.55.6981.01A1",450,1,124,3,15,2,556,2,0,0,4,519,185,0,16,0,0,2,15,17,28,285,4,3,3,15,0,16,15,74,0,737,0,222,15,1,81,32,1,30,11,156,0,3,0,20,94,6,8,7,117,3,0,28,2,485,0,168,0,0,0,418,1,0,121,0,2,1,0,3,6,13,1,1,0,0,0,0,0,1,0,0,0,0
"TCGA.86.7713.01A1",84,12,8,9,1,0,4869,2,1,272,0,3877,175,0,4557,1,1,6,1,0,31,78,23,4,1,130,1,189,4,134,15,1562,0,6,2267,0,100,23,3,26,31,836,0,0,0,42,1605,4,56,8,169,2,13,1,2,63,0,4,0,1,16,515,1,0,1,2,0,8,177,2,8,8,0,55,698,1,1,0,0,1,0,0,0,0
"TCGA.95.7944.01A1",53,0,12,15,17,2,5,10,1,1,206,677,226,1,90,0,6,5,15,15,26,181,3,3,4,1,0,106,6,39,0,40,0,37,57,4,126,126,2,5,42,66,0,9,1,1,108,5,3,32,30,0,0,21,9,25,0,1131,2,0,1,24,4,0,146,3,0,8,3,3,15,0,1,178,3,0,0,26,1,0,0,0,0,0
"TCGA.44.5644.01A1",40,184,5,1229,2,4,215,0,0,205,471,384,715,0,713,0,1,0,24,11,25,1978,28,0,1,1,0,181,4,111,828,1325,0,11,448,79,55,1465,1,143,8,4515,0,0,0,1,98,11,1659,6,1717,4,0,8,1,31,1,23,1,0,13,406,1,0,981,3,1,66,16,15,0,17,0,26741,1856,0,0,1,0,37,0,840,0,1
"TCGA.05.4398.01A1",51,7,7,15,7,115,122,39,3,1,42,3804,457,1,94,2,0,9,33,431,30,445,4,1,9,43,2,183,21,440,1,1872,0,191,63,8,818,300,5,17,25,650,0,10,1,3,177,20,92,12,236,1,1,3,597,832,2,179,3,3,11,13,26,1,86,27,1,6,10,0,8,6,3,1696,0,1,23,7,0,0,1,1,2,3
"TCGA.NJ.A4YF.01A1",6,0,7,52,0,30,65,21,1,1,4,447,226,0,94,1,1,1,3,56,7,61,0,0,4,5,0,230,2,79,1,429,0,3,0,26,600,11,3,5,8,1091,0,0,0,2,59,3,0,17,198,0,0,7,3,21,1,2,0,0,0,2,0,1,0,10,0,0,0,0,0,1,1,387,0,1,0,10,0,1,0,0,0,0
"TCGA.MP.A4SV.01A1",161,2,47,53,8,5,1510,1,1,5,6,1318,23,0,121,0,2,9,16,119,94,229,13,1,16,49,1,107,13,136,1,285,0,105,37,3,319,127,5,3,35,133,0,1,0,9,137,67,171,13,37,0,1,1,17,75,0,30,1,15,4,165,12,2,265,35,0,1,7,4,3,61,0,78,0,0,0,12,0,0,7,0,0,0
"TCGA.69.7765.01A1",222,5,3,65,2,1,24,0,0,4,27,2817,50,0,44,0,1,9,39,99,65,215,1,3,9,144,1,20,4,193,28,39,0,448,169,0,432,87,1,4,16,277,0,0,3,18,71,15,15,20,28,6,0,42,616,186,3,15,0,0,1,133,4,7,139,5,1,1,0,0,7,13,1,27,2,1,0,0,2,0,0,15,5,0
"TCGA.55.8097.01A1",317,9,34,255,110,2,818,0,6,9,6,1872,207,2,97,3,0,337,137,69,27,117,23,4,35,682,3,238,5,30,1,126,1,153,73,17,358,84,7,18,15,1526,1,1,0,118,253,6,130,61,211,2,2,1,15,32,5,425,1,3,6,49,66,12,222,99,0,1,7,3,3,61,0,33,2,3,2,0,0,1,13,0,2,0
"TCGA.86.8054.01A1",51,27,11,42,3,3,381,146,3,0,1,777,810,0,5475,1,2,2,49,11,1519,3452,34,374,8,31,104,203,8,80,9,677,0,51,156,6,771,69,6,76,17,660,76,1,0,21,24,1,24,346,1295,193,6,107,3,23,2,76,0,0,10,520,3,450,690,2,0,1177,4,3,0,42,1,4218,1078,0,0,0,1,4,0,1,0,0
"TCGA.44.3396.01A1",46,2,8,18,25,17,74,4,0,3,24,3495,671,1,140,3,1,3,47,92,23,4655,8,3,23,24,42,103,17,522,2,533,0,353,87,2,5052,203,6,28,71,190,0,0,0,10,228,10,71,37,163,1,0,21,4,2642,3,110,2,7,23,327,2,7,274,10,0,20,1,1,10,120,1,6,0,2,0,0,0,1,0,1,0,0
"TCGA.44.A4SS.01A1",31,0,4,44,23,15,7,1,1,1,285,1367,49,0,23,0,0,277,31,4029,10,229,12,15,3,61,0,106,30,24,0,418,0,8,17,0,1015,133,10,4,21,142,0,0,0,0,177,21,3,17,76,1,0,0,7,23,0,274,0,0,5,63,2,6,7,2,0,0,0,0,0,4,0,1952,0,2,416,3,0,0,0,0,3,0
"TCGA.97.7547.01A1",37,6,30,76,3,0,523,3,3,0,33,1949,181,0,101,0,0,4,267,37,8,61,13,7,37,134,6,18,2,497,0,1228,0,113,23,2,65,360,4,12,150,194,0,0,0,657,11,25,239,25,166,0,0,3,1,4,6,2,2,0,10,230,6,12,92,30,0,0,11,1,4,42,1,571,6,0,0,0,0,0,1,0,0,0
"TCGA.O1.A52J.01A1",92,1,98,785,18,4,1025,5,2,100,20,2274,5,0,990,3,1,23,17,0,245,1762,2,1,15,50,1,635,13,12,0,46,0,767,16,1,441,51,2,4,42,234,1,0,0,10,40,12,28,5,25,0,0,1,7,642,1714,15,0,0,32,574,2,0,55,8,0,0,0,122,1,168,9,30,1,3,0,2,0,1,0,0,0,0
"TCGA.69.7978.01A1",1146,1,8,376,2,15,23,10,3,1,20,4404,383,0,293,3,0,11,13,3059,63,490,2,42,13,84,0,85,10,330,2,634,0,261,18,7,620,653,3,42,37,247,1,4,0,8,139,42,89,23,153,6,0,2,5,25,3,115,1,4,4,131,4,21,2,68,0,6,3,0,3,10,3,1980,4,3,1,8,1,0,0,0,0,0
"TCGA.95.7947.01A1",85,51,23,15,7,2,201,1,2,0,4,1943,114,0,37,9,0,26,21,35,84,80,15,5,2,126,0,506,40,156,63,4001,0,64,24,4,137,47,5,52,110,505,0,10,0,257,89,7,1189,34,196,6,1,1,15,42,4,11,1,10,1,18,5,0,15,20,1,3,6,7,151,12,0,15,1,0,0,37,0,0,0,1,0,4
"TCGA.L9.A8F4.01A1",18,7,15,94,9,6,34,3,10,92,6,1295,71,0,49,1,2,15,25,61,17,178,18,0,5,76,2,173,61,490,2,1118,0,20,43,6,74,240,6,21,47,414,52,0,0,2,274,37,55,15,20,7,0,2,21,288,7,99,2,0,3,17,5,3,88,7,0,1,7,0,11,4,13,30,636,3,0,1,1,1,0,1,1,0
"TCGA.44.6147.01A1",55,65,44,61,7,1,680,1,18,3,13,1152,57,0,113,22,5,94,189,54,40,174,117,28,65,477,6,25,75,69,66,345,1,90,183,9,465,114,7,7,13,351,1,1,8,89,55,4,2873,39,80,12,4,67,30,165,6,84,1,78,5,75,80,22,225,371,2,30,4,43,3,40,2,97,374,13,3,3,4,9,51,7,13,0
"TCGA.MN.A4N5.01A1",73,4,16,274,7,26,183,3,1,1,15,4511,332,1,665,0,0,122,9,7,13,184,5,3,11,80,0,311,17,172,15,200,0,602,196,5,540,20,16,33,42,325,17,3,2,26,171,18,71,46,134,31,0,25,13,468,1,79,0,0,8,442,8,61,230,49,0,8,2,18,1,80,1,161,26,9,0,50,1,4,1,33,10,0
"TCGA.38.4631.01A1",30,0,1,171,2,1,73,0,0,0,8,203,10,0,50,0,0,0,16,1809,98,949,1,0,6,8,1,13,31,21,0,15,0,61,3,0,253,457,9,21,7,40,117,1,0,2,15,15,18,13,20,0,0,63,32,243,1,85,0,3,8,21,4,90,7,7,1,0,7,3,0,20,2,389,9,0,0,9,0,0,0,12,2,0
"TCGA.05.4403.01A1",10,5,5,18,57,0,259,3,3,3,10,2822,601,0,28,2,0,8,49,1771,28,136,10,4,16,252,2,33,4,61,4,617,0,131,26,2,4802,163,5,21,7,1113,0,0,1,197,15,26,10576,95,262,0,1,2,15,55,3,416,1,1,0,24,5,6,4313,16,1,10,1,6,2,50,16,11694,15,1,0,3,0,0,1,1,2,0
"TCGA.44.2666.01A1",212,7,304,153,12,2,36,2,3,1,4,1491,288,2,179,6,1,266,52,23,145,429,13,20,18,124,0,88,7,54,0,293,0,538,90,3,356,46,7,37,25,814,0,3,0,63,46,15,34,86,565,8,0,190,4,651,2,37,1,1,22,1129,5,5,78,42,0,2,1,2,4,47,1,16,1,23,0,6,0,3,0,0,4,2
"TCGA.50.5066.01A1",100,3,12,15,0,4,30,2,0,0,240,516,23,1,24,0,0,2,3,34,23,1600,11,4,3,26,0,5,5,33,0,97,0,51,5,0,261,13,0,37,3,148,98,0,1,11,21,17,1,26,8,1,0,49,0,156,1,28,0,0,2,119,0,105,8,0,0,10,1,1,2,10,1,50,0,0,0,2,0,0,0,0,0,0
"TCGA.44.5645.01A1",74,4,18,29,42,5,109,3,2,1,3,1053,42,0,187,5,1,97,67,27,74,40,33,6,23,134,1,16,0,35,4,74,0,90,149,10,551,98,1,13,22,146,1,1,0,15,12,1,1859,49,55,3,1,71,15,14,4,6,6,0,3,73,18,13,28,104,0,9,1,114,8,16,1,4,1,15,0,0,0,1,11,0,18,0
"TCGA.75.6205.01A1",17,0,0,6,3,1,5,0,2,1,3,447,71,0,16,4,0,3,7,59,3,65,0,2,2,16,0,3,1,7,0,46,0,6,43,1,956,230,3,2,6,16,0,0,0,1,12,2,12,10,61,2,0,3,0,10,0,317,0,2,1,131,2,1,94,39,0,2,0,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0
"TCGA.91.6835.01A1",21,64,11,65,3,2,423,1,10,0,17,1612,92,1,376,9,1,49,60,28,15,1012,21,6,21,217,6,17,6,52,5,274,0,247,126,10,184,290,3,32,55,345,5,2,0,34,66,7,767,59,106,5,1,55,215,458,12,31,1,49,2,285,26,186,268,57,1,16,8,15,6,957,6,732,5,1,0,1,0,2,32,0,5,0
"TCGA.75.7030.01A1",4,7,7,23,9,1,133,2,2,1,7,1080,43,0,78,1,1,37,99,217,21,87,23,9,99,163,0,8,1,21,63,115,0,55,27,3,499,114,3,6,10,885,0,0,2,25,30,0,962,32,61,0,1,78,15,33,2,107,0,6,0,21,15,2,461,57,1,10,0,8,1,20,2,1976,27,1,1,0,0,1,0,0,0,0
"TCGA.49.6767.01A1",7,0,0,3,1,2,23,1,0,0,37,1531,158,0,295,3,1,6,13,411,30,298,2,0,11,6,1,21,42,20,0,162,0,49,3,1,60,476,0,3,17,254,1,3,0,0,23,20,2,0,3,3,0,1,103,13,0,9,0,4,17,98,4,1,39,1,0,30,0,7,0,0,1,10,0,1,6,1,0,1,0,1,0,0
"TCGA.05.4250.01A1",39,3,1,305,4,2,17,31,0,1,16,2424,243,0,672,5,1,9,15,5514,1748,2798,12,5,6,43,1,20,15,144,2,824,0,413,353,0,1678,94,1,39,24,362,9,2,0,10,51,56,47,43,47,3,0,55,4,268,1,60,0,0,0,185,0,37,86,7,1,207,1,9,0,12,1,4091,0,2,2,3,0,4,0,0,0,0
"TCGA.55.8301.01A1",8,3,5,30,8,5,406,1,0,10,120,1262,34,0,25,21,0,13,53,27,7,175,3,2,4,193,23,64,13,50,121,139,2,115,18,3,512,142,2,28,23,264,0,0,1,16,33,2,3,4,59,0,0,46,3,89,4,68,0,0,24,23,3,21,23,26,0,3,2,10,12,234,2,34,0,0,0,4,2,0,0,3,5,0
"TCGA.69.7764.01A1",6,17,11,26,7,1,63,0,0,1,3,1268,15,0,1080,1,1,21,86,3,15,63,2,3,11,124,0,160,2,6,5,219,0,24,5,2,47,76,1,13,12,535,0,0,0,18,98,6,26,27,87,1,0,8,0,84,2,242,0,1,13,11,5,3,2,6,0,0,0,34,0,280,0,34,1,2,0,0,0,0,0,0,0,0
"TCGA.49.4512.01A1",37,5,71,39,9,2,429,5,2,0,76,895,137,1,55,0,2,7,63,12,17,104,4,2,7,78,5,21,3,30,0,35,0,55,24,0,153,120,4,2,16,64,0,1,0,11,68,2,171,5,223,0,0,7,10,79,3,34,0,6,2,63,15,4,18,161,0,3,2,7,4,10,2,21,0,1,0,1,0,3,1,0,0,1
