"","PON1","NRXN1","APOBEC2","AP3B2","CST5","GCGR","GFRA3","LMO1","CHRNA4","GABRR1","GAP43","SOD3","TMEM61","GHRH","PAK3","FRMPD4","STMN4","HCN4","ADCY2","SERPINA5","ASB4","SCG5","KCNMB2","MGAT4C","GRIA3","ATP1A2","HAND2","LCN12","SYNGR4","GRIN1","SCGN","MB","NEUROG1","DIRAS3","DSCAML1","KCNC1","PKIB","COL22A1","HAPLN2","SLC4A10","TTBK1","KCNK3","RIPPLY2","KCNJ4","RALYL","RXRG","CELF4","LHFPL5","MS4A8","RNF182","C2CD4B","GRIA2","DCX","CADM2","ZFR2","CPNE4","TCEAL5","CST2","HEPACAM","KCNA1","PCDHA8","NOVA1","PLP1","SNAP91","ONECUT2","KCNB1","C22ORF42","TAGLN3","EPHA8","PCDHB1","RGS8","GPC5","TMEM114","SYT13","GP2","VWC2L","CACNG2","COL20A1","GHSR","ZDHHC22","SOX1","AMER3","SPHKAP","C8ORF86"
"TCGA.85.6560.01A0",3,8779,9,1029,1,12,142,549,5,0,43,1828,3,1,65,3,2,69,21,30,12,613,39,2,23,78,724,49,0,21,0,9,0,181,26,107,370,549,13,267,688,206,0,92,0,80,80,4,1,308,55,17,0,189,0,2,0,25,5,9,15,55,18,10,353,359,0,3,31,0,0,277,0,6,1,1,0,3,1,23,8,11,1,1
"TCGA.39.5022.01A0",9,66,7,156,33,20,197,67,98,150,113,2462,92,1,1113,17,0,11,201,303,37,288,80,16,17,341,10,80,11,42,1,616,2,254,28,4,455,3363,3,16,61,647,21,3,1,42,74,12,49,2430,90,9,23,15,17,458,47,441,1,13,0,767,1,28,338,576,1,13,27,12,44,196,3,520,0,1,1,2,1,7,1,0,0,0
"TCGA.58.8391.01A0",1,5,1,634,0,43,16,10,0,206,68,386,60,0,15,295,2,1,2,4,4,39,25,2,5,2,4,86,1,20,0,3,0,8,11,2,13,51,51,3,11,223,0,2,1,2,11,3,2,30,37,1,8,0,3,9,2,1,0,1,0,4,1,1,6,3,0,3,0,1,0,5,1,17,1,0,0,4,0,0,1,0,0,1
"TCGA.85.A5B5.01A0",2,21,1,40,3,100,514,61,2,259,189,318,67,7,18,9,7,0,15,11,13,370,61,1,56,25,0,238,4,55,1,171,0,169,40,3,151,135,2,6,17,7,2,1,2,21,20,1,134,385,104,190,13,3,7,67,15,61,1,2,0,335,17,15,37,15,5,37,1,1,211,1,1,452,0,0,3,9,0,0,0,1,0,0
"TCGA.56.8622.01A0",10,20,0,465,5,6,37,115,0,191,13,1662,27,0,16,0,3,2,68,126,5,135,4,30,7,25,1,13,0,13,8,97,0,15,3,5,163,128,23,2,12,519,1,0,0,9,9,1,8,12,126,20,0,80,4,34,4,160,0,2,1,15,2,1,27,5,0,3,3,1,1,10,1,63,3,0,24,0,0,0,0,0,0,0
"TCGA.33.4566.01A0",0,0,0,5,0,0,6,3,0,0,2,159,30,0,168,0,0,0,0,23,0,53,0,1,3,2,0,2,0,20,0,23,0,1,1,0,292,46,0,0,3,23,0,1,0,1,2,3,0,2,4,0,0,0,0,1,0,3,0,0,0,3,0,0,20,4,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0
"TCGA.56.8623.01A0",33,49,37,126,142,4,536,20,11,3,4,5727,153,0,86,46,2,134,165,66,42,87,115,28,21,1021,2,50,1,37,26,227,0,287,403,7,293,98,13,21,18,3154,3,1,0,346,55,0,5708,571,1393,8,1,7,69,28,3,44,1,31,7,191,30,15,15,304,3,85,1,65,18,165,26,39,2,3,0,1,1,2,1,2,40,1
"TCGA.85.A4JC.01A0",10,10,53,506,2,7,18,13,0,5,159,1197,43,0,57,11,0,162,37,42,8,317,21,7,16,26,2,17,2,16,0,130,0,50,40,3,75,4042,5,6,11,49,4,3,0,4,26,9,680,27,40,6,5,16,11,226,24,117,2,2,0,32,23,1,7,21,5,92,0,3,0,1,33,205,1,2,0,0,0,4,0,2,0,0
"TCGA.39.5029.01A0",1,17,4,47,3,78,73,11,44,73,383,696,33,0,24,6,0,13,51,61,10,171,27,13,12,76,7,10,8,341,1,389,0,35,23,17,217,55,5,1,26,211,101,21,0,23,15,3,465,23,34,30,0,17,30,4,2,74,4,10,0,98,26,139,74,42,3,23,191,3,2,9,4,2113,6,0,1,1,0,6,0,0,0,1
"TCGA.77.6844.01A0",57,47,28,215,3,1,106,15,9,25,40,1314,7,0,25,18,5,7,2076,31,24,304,33,16,33,281,15,17,1,6,2,128,0,49,4,4,518,39,11,30,2100,682,30,1,21,11,144,10,10,20,49,55,27,17,2,52,10,65,2,0,1,33,26,11,362,37,0,42,94,8,1,4,0,1,1,2,0,0,1,2,26,0,0,0
