"","LTF","NUGGC","SERPINA5","GCSAM","CCDC141","MUSK","BCL11A","KLRG1","RGS13","TOX","AICDA","RGS9","PSMA8","BCL11B","FGD2","FBP2","C22ORF15","PPP1R16B","CNR2","MADCAM1","DTHD1","NPHS1","KEL","GPR18","SLC1A2","SPIB","TCL1A","ZNF831","DNER","STAR","RTP5","MGAM2","CPA5","SLC13A2","FCAMR","BTN1A1","KBTBD8","LRMP","ANK1","KIR3DX1","IRF8","VPREB3","CR2","TXLNB","ZNF80","NLRP6","JAKMIP1","POU2F2","CD19","NLRP4","IL2","CCL19","CD38","SERPINA9","VNN2","RHOH","BLK","CD8A","LY9","CD40LG","CD79B","CD69","CD72","PLA2G2D","STAP1","PDCD1","SH2D1A","BFSP2","MEF2B","IL16","EXOC3L4","PLEKHG7","TNFRSF13C","ST8SIA1","THEMIS","GZMK","TRAT1","FCMR","GPR174","CD48","RUNX3","CHST8","HIST1H3J","FCRLA","ITK","DMRTA2","CXCR4","TESPA1","VRTN","CAPN14","TAGAP","C16ORF54","IL24","POU2AF1","LINC00282","FCRL4","CLEC17A","P2RY10","GZMM","TF","KLHL6","FCER2","C12ORF42","PAX5","BTLA","POU4F1","CYTIP","CCL4L2","FCRL3","HSF5","SCML4","CD247","HEPACAM","SLC12A3","SLC35G3","SP140","CD79A","IL17REL","IKZF1","CD3D","TNR","TNFRSF13B","PYHIN1","MYBL2","CCR7","FAM129C","KCNA3","CD28","LAG3","ABCB11","CRTAM","AIM2","SLAMF6","AC119396.1","LCK","TMEM156","ICOS","IL7R","PNOC","MS4A1","TIGIT","PTPRC","RASGRP2","NCR3","CARMIL2","CD3E","CXCR5","REG4","TLR10","JCHAIN","CD5","UBD","CD37","IDO1","TTC24","DDX4","TMEM95","BEND4","NLRP11","NPTX1","ADAMDEC1","AC010616.1","ALPK2","EOMES","TIMD4","FLT3","FCRL1","SIRPG","CTLA4","LTA","INSM1","CXCL13","CR1","ZPBP2","LGALS9B","P2RX2","ISL2","CLEC4C","FDCSP","RGS7","SORCS3","P2RX5","UGT2B17","SHISA8","FCRL5","FCRL2"
"TCGA.DE.A0Y3.01B",67,11,3,100,8,0,100,11,1,47,0,18,0,64,101,0,2,196,10,11,1,0,4,7,13,9,2,21,5,2,1,0,0,0,1,4,30,57,16,0,111,2,23,2,2,0,11,97,3,0,1,6,39,0,15,74,0,379,18,12,34,133,100,3,10,33,15,3,10,134,3,0,17,51,42,17,1,245,4,101,128,5,1,28,84,0,902,24,0,1,142,42,55,247,0,0,8,23,30,6,98,3,0,6,7,0,162,23,5,1,13,76,0,6,0,37,122,2,283,86,0,6,21,66,46,5,11,40,105,0,24,6,50,7,151,6,24,193,2,12,74,735,35,1,30,304,3,0,35,3546,118,10,308,52,0,0,0,17,0,3,31,0,2,17,42,7,2,30,30,12,2,2,13,1,0,1,0,1,0,0,0,6,2,0,13,9
"TCGA.ET.A2N3.01B",479,84,0,97,28,7,488,67,0,306,0,42,0,442,577,0,4,428,97,52,0,0,40,15,169,5,0,0,0,1,2,0,4,2,1,1,55,661,13,1,25,17,34,7,1,4,159,68,3,1,0,0,217,0,18,4,1,146,1,3,222,13,413,0,0,43,4,8,55,337,7,3,40,1049,2,1,0,111,0,23,51,7,6,1,8,2,1657,5,0,3,42,3,40,23,11,0,2,2,16,44,40,1,0,1,4,0,61,15,5,4,0,44,5,0,1,20,5,0,27,9,0,0,6,133,56,11,12,12,27,0,1,2,6,11,98,10,0,5,2,2,0,84,310,2,13,21,1,0,0,2,16,0,51,10,0,3,0,2,2,3,0,1,0,6,12,2,1,1,2,3,0,1,5,0,0,0,0,0,0,0,0,0,1,1,1,0
"TCGA.ET.A3BQ.01B",222,21,5,74,84,3,271,79,12,140,0,113,1,99,215,0,2,1025,10,30,2,0,6,18,21,10,3,21,1,6,2,2,3,1,2,5,113,371,66,0,493,7,23,21,7,5,21,137,2,2,0,42,42,0,31,209,6,317,49,30,285,548,121,18,16,63,27,9,23,581,7,1,113,35,26,40,23,191,10,221,139,16,1,5,98,1,3806,47,1,8,282,47,73,67,1,0,17,18,46,12,303,4,0,3,9,1,285,265,10,1,35,121,1,3,0,60,23,2,297,71,2,1,34,139,71,13,31,35,39,0,33,27,75,9,271,32,18,290,3,18,64,1073,355,12,55,221,3,0,21,217,89,2,713,30,3,2,0,5,0,2,25,2,11,49,57,11,3,28,52,7,0,5,35,1,0,1,0,0,0,0,0,6,0,5,50,2
"TCGA.FY.A3I5.01B",425,312,17,247,65,13,171,86,44,1334,23,103,6,749,441,1,8,917,61,103,26,5,60,89,506,163,198,149,0,8,10,5,8,10,37,7,173,1257,40,6,897,87,528,24,37,17,171,564,288,16,2,1355,189,42,127,526,184,797,298,103,682,654,438,148,82,122,142,40,49,1592,28,1,300,976,111,304,114,933,63,725,651,15,5,211,420,7,4453,312,2,3,823,355,217,519,12,8,92,201,140,47,440,126,6,519,90,2,653,0,363,11,99,442,1,9,1,249,1393,16,1012,396,7,98,143,183,829,217,122,280,257,1,51,94,338,64,778,69,303,1709,40,1447,436,3347,1029,27,616,1227,21,3,257,1934,541,81,1414,543,34,1,2,20,3,6,76,13,23,69,127,47,267,143,234,28,7,359,61,0,0,2,5,7,160,3,1,114,5,8,212,154
"TCGA.DO.A2HM.01B",568,208,42,571,146,4,823,259,42,631,40,84,17,1251,3400,2,15,3796,551,27,134,47,212,370,118,1177,981,775,3,15,39,15,8,0,105,25,518,1993,189,10,6988,466,4623,265,47,55,227,2297,1633,7,3,3119,1554,59,495,1470,1693,1691,1029,383,3610,872,1207,644,556,404,755,40,27,5157,121,30,2156,455,337,1483,416,4828,220,4774,2707,23,0,1393,1657,1,8575,1086,8,37,2267,1400,970,3305,25,30,297,624,416,71,1918,1113,76,2490,660,9,2073,229,2221,40,570,1661,8,69,1,1466,6378,84,4928,1902,37,620,473,1091,3320,2106,426,1096,537,11,319,696,1470,358,2948,611,587,8735,351,10524,1323,14175,4542,217,1590,4808,188,3,1369,13394,1771,732,8281,3555,92,1,1,103,2,110,370,32,151,836,1396,609,1823,766,571,183,49,1244,1365,6,4,80,7,37,914,11,3,1146,17,44,1844,1248
"TCGA.DE.A4MD.06A",189,82,126,181,28,4,236,71,120,146,20,71,3,123,253,5,9,664,43,60,7,30,63,32,87,223,414,74,17,15,7,3,12,0,274,5,71,520,67,3,734,215,1809,37,3,15,15,281,312,7,3,1927,242,74,120,220,323,288,139,80,706,317,298,163,117,67,104,40,55,535,193,1,324,89,37,153,40,630,5,1122,497,40,2,281,234,2,1927,165,3,7,199,84,206,680,3,4,24,35,92,163,391,328,9,364,46,1,441,57,100,1,63,206,12,18,3,178,1268,11,630,393,23,63,89,771,393,203,9,113,134,1,50,80,177,16,383,74,47,725,49,1015,247,1288,583,40,229,1054,8,1,69,1279,245,104,1553,230,21,1,2,15,3,33,140,7,60,21,129,46,85,106,85,40,7,2003,126,4,1,24,1,0,1806,0,3,219,5,21,80,53
"TCGA.EM.A2CS.06A",495,39,35,115,2,0,220,40,3,17,0,57,0,57,362,0,6,450,15,30,1,0,10,20,3,2,1,7,1,4,1,0,10,1,1,0,42,111,37,0,239,7,12,30,2,18,7,74,9,0,0,119,15,0,30,49,18,198,12,1,217,129,136,0,5,23,9,2,25,259,26,3,66,30,4,13,3,103,0,160,33,26,1,0,18,0,1557,31,0,1,103,23,26,63,2,0,0,3,12,27,117,0,1,0,13,0,124,47,2,1,2,42,0,0,0,26,23,0,101,21,7,1,6,146,32,16,7,15,28,0,17,6,28,5,286,49,12,277,20,332,42,253,317,3,12,131,2,0,5,92,47,3,348,63,0,1,0,0,1,4,5,0,0,4,100,8,0,7,13,6,3,11,11,1,3,0,2,0,2,0,3,2,0,10,5,0
"TCGA.J8.A4HW.06A",625,139,51,325,43,28,633,118,71,411,51,92,4,1227,1506,8,11,2136,391,37,37,63,148,190,188,759,709,400,4,21,23,3,71,0,271,21,398,1399,134,2,3831,382,3358,68,35,32,47,1380,1493,27,7,3197,337,40,281,1056,1123,657,831,398,2153,1155,740,486,274,314,389,17,75,3062,208,11,1642,464,254,379,261,3214,153,2435,1907,35,0,751,1408,6,10112,1047,13,15,1789,696,557,1455,34,21,222,303,261,570,1263,1224,28,1927,381,2,2076,76,914,31,225,1219,4,30,2,765,3577,81,2878,1061,55,295,257,577,3644,1152,104,704,197,12,134,247,936,208,2261,200,286,7292,143,6236,876,8660,3163,89,1286,3470,117,7,766,2172,1733,193,4878,450,44,2,3,55,7,80,332,28,181,286,423,217,702,447,345,110,11,1883,665,2,1,30,2,13,1041,7,5,661,13,50,657,425
"TCGA.J8.A3O2.06A",31,8,10,35,18,2,189,55,5,59,3,32,0,71,500,2,0,529,12,55,9,1,15,17,3,4,8,33,2,4,2,0,6,0,0,7,50,241,35,1,220,4,24,16,1,9,20,121,2,0,0,34,30,0,40,126,15,303,25,26,63,144,198,5,13,65,24,1,47,257,18,1,24,20,23,66,12,230,10,130,115,2,8,5,98,1,2646,52,0,1,153,40,64,111,0,0,2,10,20,49,148,4,1,7,18,1,213,55,25,1,26,122,8,7,3,52,33,1,245,74,4,1,50,47,74,13,4,69,56,2,30,18,107,16,163,23,10,416,5,18,49,595,189,9,40,265,0,0,16,440,79,3,533,730,4,1,0,6,1,1,1,3,4,33,208,21,3,33,40,8,0,21,32,4,0,1,1,0,12,0,0,24,1,1,16,2
"TCGA.EM.A3FQ.06A",74,8,0,111,18,1,108,23,1,23,3,39,0,23,120,0,18,114,8,24,3,3,2,7,26,16,40,28,5,1,0,0,21,0,2,1,30,79,10,4,78,42,76,0,0,2,3,98,23,1,0,49,25,1,18,37,18,270,25,12,163,37,130,23,10,52,20,2,16,133,7,1,31,15,5,30,8,55,0,161,61,9,0,18,30,2,271,28,0,3,66,37,10,46,0,2,7,4,69,16,52,18,0,24,3,0,60,20,20,0,3,88,0,2,1,47,100,1,90,124,2,10,16,26,51,28,1,15,108,0,16,5,47,6,118,33,15,52,1,69,40,249,148,5,47,222,0,1,18,40,50,6,396,21,1,0,0,1,1,1,8,1,0,16,10,4,3,46,24,3,0,71,7,0,2,2,0,0,31,0,0,13,0,0,7,3
"TCGA.EM.A2P1.06A",295,162,28,199,103,6,203,78,63,623,11,60,2,535,968,1,3,1208,121,3,154,44,63,101,60,150,208,422,1,10,11,0,10,0,50,10,362,737,44,2,1546,87,1860,189,24,28,104,920,407,6,9,1362,491,84,332,702,420,2325,386,122,735,1254,341,206,203,340,315,10,30,1493,57,10,371,177,215,796,107,1122,39,1556,761,7,7,343,771,1,9773,360,7,11,934,353,332,2212,7,16,74,178,103,30,1526,277,28,505,333,0,1684,215,255,15,230,574,0,30,2,545,2777,4,2118,743,25,85,271,249,688,158,110,350,332,0,222,358,1124,52,1044,267,286,3494,122,2042,939,5737,556,23,303,2537,23,0,252,16264,549,514,2226,824,37,0,0,39,4,13,111,9,127,330,56,197,227,478,488,37,0,5601,226,0,0,3,0,0,1646,0,0,262,43,3,686,177
"TCGA.EM.A3SU.06A",2430,540,293,902,86,37,808,234,261,996,215,257,18,1104,2054,5,12,2488,644,43,55,212,317,288,241,1005,2873,851,15,46,37,15,99,1,583,23,592,2436,190,4,5883,785,12494,111,25,88,120,2038,2130,122,23,7629,827,190,511,2382,1762,1348,1056,530,3886,2287,1221,1496,743,573,490,66,99,3980,245,28,2152,215,308,725,245,5373,117,4828,2350,60,8,1638,2262,1,16350,1127,42,30,1811,855,1025,4640,24,27,203,392,431,259,3639,1819,49,3388,841,10,3717,194,1396,50,614,1502,8,73,4,1393,8179,90,4876,2137,47,383,382,1433,3473,1162,172,812,327,17,265,434,2424,327,2687,403,418,9675,242,7319,1302,12168,3407,142,1312,6054,122,9,709,13777,1755,391,7622,787,65,3,5,99,21,98,1047,33,270,262,871,377,915,775,491,234,25,5348,916,6,1,33,8,73,5216,6,4,1433,40,57,955,606
"TCGA.J8.A3YH.06A",135,16,6,71,43,1,287,121,17,105,1,37,1,317,575,0,3,1129,118,44,21,7,46,69,31,165,162,143,7,6,9,2,6,3,7,2,133,516,59,1,1502,131,280,24,15,39,42,526,290,5,2,1357,98,0,114,353,322,433,227,127,752,473,280,442,76,130,137,4,35,1003,80,5,391,104,84,393,118,957,31,1341,631,9,0,207,573,0,5049,259,1,5,500,181,208,450,3,4,39,66,179,23,561,226,9,295,161,1,1023,40,234,5,169,627,0,7,2,277,873,13,911,494,23,108,162,61,865,311,30,183,39,6,67,115,367,37,732,127,79,2416,33,1633,277,2835,1078,80,298,1240,20,0,135,1461,382,85,1805,203,7,0,0,21,1,31,230,12,23,123,135,73,122,159,115,46,9,450,134,3,7,2,0,5,364,2,0,177,5,20,71,129
"TCGA.DJ.A13X.01A",158,61,28,98,76,4,254,40,12,63,0,24,0,68,359,1,2,752,10,21,9,0,17,10,64,3,15,31,3,0,2,2,8,0,0,3,126,165,49,1,374,5,9,21,2,21,18,146,18,0,0,206,73,0,64,114,9,452,40,21,107,217,75,25,5,31,37,21,18,469,13,3,49,43,46,44,10,160,7,264,230,8,4,3,105,0,895,64,1,7,232,81,33,261,0,0,2,17,27,20,201,10,0,11,9,0,281,226,15,0,21,79,0,2,1,43,40,1,300,74,2,2,23,57,87,20,71,57,49,0,27,16,73,21,305,18,18,376,3,1418,65,1173,189,12,51,315,2,1,28,692,139,9,515,86,3,0,1,2,34,6,168,4,3,21,33,15,11,43,23,7,3,1,35,2,2,0,0,1,0,1,0,1,0,0,15,0
"TCGA.MK.A84Z.01A",264,88,2,59,49,0,148,31,4,47,1,49,1,89,74,0,2,222,8,23,2,0,17,12,90,1,0,10,3,3,0,0,7,1,2,2,60,416,16,1,39,13,25,5,2,1,39,55,0,1,0,9,239,0,21,21,13,215,15,9,248,143,111,1,2,184,18,6,24,236,4,0,3,34,18,15,0,63,3,92,65,18,0,2,35,0,1059,18,0,3,75,15,21,15,2,0,0,1,18,15,47,0,0,1,3,1,113,74,9,1,13,60,0,3,1,15,6,1,92,59,1,0,13,64,24,6,21,6,74,0,12,5,26,4,126,13,3,74,0,15,12,274,275,1,27,159,0,0,9,60,33,3,131,75,1,0,0,0,3,0,2,3,1,8,11,4,0,21,8,2,2,2,5,0,0,0,0,0,0,1,1,8,2,0,0,0
"TCGA.E8.A2EA.01A",3222,149,15,97,28,3,241,99,13,211,6,71,0,427,581,0,2,647,21,15,20,3,21,74,18,134,63,115,5,4,6,1,6,0,9,2,124,510,52,3,1358,30,232,51,5,9,134,551,134,4,2,936,559,10,169,431,66,1888,205,111,367,724,359,382,115,252,259,21,31,1197,34,2,64,201,81,514,61,498,30,1178,519,13,2,184,389,1,5297,238,0,3,748,427,161,1195,1,11,12,94,159,28,693,9,4,44,100,0,1118,370,39,1,103,686,0,6,0,370,2543,0,1163,983,3,74,183,364,445,32,87,133,709,1,163,168,541,7,1123,107,179,1115,163,184,757,3248,286,59,211,2390,6,2,92,12469,457,633,1538,2316,16,1,1,1,1,28,795,7,35,200,74,37,6,262,376,81,9,1086,52,0,0,0,11,9,177,3,0,61,3,0,510,67
"TCGA.EM.A1YA.01A",693,295,21,113,35,0,133,78,1,171,1,46,6,525,245,0,23,710,18,122,8,1,6,8,39,24,8,25,2,5,1,8,0,0,1,0,74,217,37,2,267,64,56,43,2,3,74,92,9,0,0,5,253,0,21,42,30,288,31,21,161,169,178,3,2,42,21,114,30,433,9,0,18,314,21,25,8,222,4,103,67,9,0,1,40,0,1129,68,0,5,130,30,61,280,3,2,11,7,26,34,94,8,2,3,6,1,117,507,11,3,10,84,0,13,0,30,15,10,169,49,65,2,15,84,63,13,47,27,24,1,12,4,35,23,110,8,10,107,1,11,33,409,149,8,30,177,0,0,16,61,52,2,242,945,5,1,1,3,1,2,8,1,1,17,241,2,4,9,5,3,0,2,6,0,2,0,0,0,0,7,0,3,0,4,6,0
"TCGA.DE.A4MC.01A",63,56,1,153,113,1,169,37,3,290,1,37,2,271,324,0,1,1301,7,10,21,0,12,37,21,27,12,198,5,1,1,1,8,0,4,7,107,414,87,0,524,6,13,15,23,9,99,184,8,0,1,114,89,2,57,285,5,1240,168,42,146,881,92,32,30,69,300,6,15,570,16,1,23,81,111,143,104,601,60,523,897,0,1,12,783,1,3849,153,0,5,455,148,166,55,1,3,2,259,79,8,396,0,1,13,87,2,1340,49,80,12,106,473,0,11,1,311,78,7,765,494,2,20,165,236,391,7,47,427,516,0,139,32,215,17,942,79,306,1981,8,63,1413,4305,200,133,186,1826,5,0,71,710,841,137,1103,346,39,0,3,1,3,10,86,9,30,61,15,43,8,337,507,148,20,343,67,1,1,0,1,3,0,0,1,12,0,0,20,1
"TCGA.EL.A3ZR.01A",193,142,0,34,32,2,312,49,1,2,1,53,0,30,100,0,4,201,40,40,4,0,15,4,160,2,0,3,0,3,0,1,5,9,0,5,60,248,24,1,61,21,161,3,1,1,13,63,2,0,0,3,205,0,12,21,4,295,7,8,133,17,137,0,1,39,3,3,30,185,10,0,13,9,9,5,1,108,4,30,60,8,0,1,16,0,897,16,1,2,198,8,32,34,0,0,1,0,15,13,37,0,0,1,2,0,128,10,2,4,3,26,0,3,0,15,4,0,50,9,1,0,5,82,75,17,21,2,20,1,4,0,8,7,121,10,2,33,0,13,8,139,144,3,15,46,1,0,8,55,40,0,111,5,0,0,0,0,0,1,2,0,3,5,9,3,1,1,5,1,0,1,3,0,0,0,0,0,0,1,0,0,0,2,0,0
"TCGA.E3.A3DY.01A",160,78,7,78,24,4,280,78,4,146,6,27,3,222,413,0,1,413,13,6,8,1,15,18,15,28,1,52,2,1,5,3,9,0,1,15,168,282,39,0,560,4,28,42,10,13,30,292,55,2,0,349,358,0,122,261,17,801,126,40,158,127,166,79,37,129,117,10,26,534,7,1,121,42,88,181,42,337,25,479,346,7,3,80,222,3,2531,80,0,2,319,134,74,1020,1,0,5,56,61,13,450,6,3,21,66,2,651,151,37,1,34,243,3,11,0,188,777,0,579,239,2,26,71,146,98,8,55,124,230,1,97,90,257,17,353,85,47,641,44,257,226,2529,103,21,80,683,2,0,65,12637,200,68,957,221,15,0,0,3,1,1,179,5,2,63,61,44,7,89,69,25,1,370,31,1,0,0,4,1,0,0,0,17,2,2,335,33
"TCGA.EM.A4FN.01A",154,12,1,56,12,0,230,18,0,52,4,24,0,111,257,0,3,295,3,26,0,1,15,24,7,30,2,15,1,5,0,0,4,0,0,1,63,136,35,0,322,6,5,10,2,3,15,171,5,0,3,44,20,0,26,106,0,262,64,56,211,188,134,21,6,44,32,5,18,346,15,0,26,33,50,18,13,177,3,462,185,7,2,8,52,0,1149,71,1,4,215,111,61,111,1,0,2,18,55,10,244,2,3,8,15,0,335,69,3,1,15,126,2,5,1,113,37,0,332,203,2,7,46,225,139,10,4,78,104,0,37,12,94,15,320,47,40,300,1,17,99,752,197,16,74,510,0,0,59,234,197,7,1140,98,2,2,0,0,0,4,69,4,4,8,90,15,2,40,56,35,5,5,16,2,0,2,0,1,0,0,0,23,0,6,5,0
"TCGA.EM.A3SZ.01A",25,61,4,73,15,2,87,60,8,117,0,25,3,94,259,0,1,248,16,7,16,0,6,16,31,37,6,37,20,0,6,1,3,0,2,21,87,150,27,3,366,11,44,24,10,12,31,386,107,1,1,243,343,0,61,335,37,512,135,49,252,292,131,74,46,184,108,16,23,460,10,3,103,25,42,111,47,303,23,381,227,6,0,80,177,1,2430,81,0,2,261,75,120,1235,1,5,5,47,39,16,286,15,2,46,53,1,571,136,79,5,28,209,2,8,1,165,2111,0,419,241,35,69,61,168,153,21,52,98,191,0,84,50,208,7,353,143,71,623,101,327,274,1364,114,27,114,623,4,0,53,22420,198,47,570,433,12,0,0,3,3,11,40,7,4,74,30,35,9,100,103,18,4,343,23,0,0,0,6,3,5,0,1,31,3,0,476,171
"TCGA.FY.A3R6.01A",1239,367,51,178,30,7,183,85,71,396,21,80,3,318,453,4,3,924,47,24,30,16,33,92,68,175,156,156,6,7,12,10,4,0,126,9,205,573,49,7,1240,100,1945,51,3,26,101,670,230,24,3,3746,657,47,142,680,127,1902,315,111,684,771,206,395,121,383,322,25,47,1177,46,3,208,250,193,665,128,613,84,900,793,28,1,244,535,6,5475,226,5,5,939,293,99,1902,4,17,23,166,252,24,783,110,1,293,274,1,1282,250,300,13,111,455,2,10,0,358,4284,18,1198,677,10,95,134,312,468,49,173,215,534,6,205,171,570,26,855,179,177,1644,148,1873,628,4086,247,55,226,1571,12,0,191,30024,468,428,1137,1232,13,1,1,7,12,8,232,7,30,220,33,79,42,208,193,60,2,1752,104,2,0,11,9,3,806,1,0,87,9,9,628,122
"TCGA.EM.A3FN.01A",1165,61,1,250,60,8,335,61,0,135,0,55,0,305,1276,0,1,271,35,40,1,2,24,7,99,10,2,6,1,4,0,0,21,0,1,0,92,312,10,3,71,84,13,9,2,1,6,73,2,0,0,1,407,0,13,12,241,425,9,0,236,15,113,1,5,49,5,6,24,181,20,0,9,20,7,4,1,27,0,74,71,2,0,1,13,10,1312,37,3,3,49,18,10,9,0,0,1,3,23,20,55,3,0,2,8,0,37,7,4,1,4,37,4,2,0,13,12,0,49,17,6,0,10,24,23,12,5,21,21,0,2,1,15,5,51,23,0,23,0,7,40,120,151,12,28,63,0,4,3,24,10,0,95,234,0,0,0,0,0,1,2,0,1,5,40,4,0,0,0,3,0,4,6,0,0,0,0,0,0,1,0,5,0,0,2,2
"TCGA.EM.A2OV.01A",1166,63,286,158,23,2,52,49,0,80,0,82,2,221,129,0,7,907,51,8,11,0,17,6,108,8,1,21,33,2,0,3,0,1,0,0,74,232,15,4,159,9,18,11,2,2,11,92,5,0,0,0,148,1,23,30,4,113,10,11,90,71,65,3,7,11,17,84,10,277,8,0,7,287,23,11,4,153,13,113,150,21,0,1,47,5,720,18,0,4,101,33,51,61,2,0,2,9,12,11,122,0,0,4,9,8,139,21,5,1,20,133,1,8,1,17,12,24,160,23,7,1,23,23,16,4,49,18,8,0,12,3,49,5,78,9,3,148,5,21,23,498,122,7,16,94,1,0,5,171,30,5,144,82,2,0,0,2,0,24,13,0,0,27,9,3,1,2,1,0,1,0,7,0,2,1,1,0,0,4,1,2,0,1,4,0
"TCGA.E8.A44M.01A",2650,422,66,332,55,12,340,148,133,816,84,173,5,711,1553,4,4,1815,114,43,75,46,82,257,90,478,196,472,2,17,59,5,8,5,261,27,265,1207,130,28,1925,219,3080,144,40,57,247,1405,887,40,3,5224,1499,194,367,925,232,3841,703,209,1328,584,832,1082,234,1681,712,49,122,3225,140,10,677,376,293,938,215,1291,292,2800,1762,16,1,485,1256,3,3525,522,5,9,1315,833,225,3453,7,50,69,330,420,67,1924,181,15,555,255,12,1455,818,942,9,305,1369,1,32,1,909,6245,35,2374,1538,25,226,573,557,744,243,221,413,1719,5,262,335,1581,47,2557,343,530,1595,238,2744,1348,8327,937,143,1133,4239,55,0,520,25930,1282,1021,3164,3289,117,8,2,47,1,21,1309,50,89,628,64,160,293,698,586,188,6,4095,212,2,1,8,39,4,1146,1,8,250,0,15,2236,442
"TCGA.DJ.A13L.01A",749,126,30,133,47,2,205,101,49,488,2,80,5,450,1168,0,5,755,40,15,43,2,20,67,40,121,27,217,10,4,11,2,6,0,24,7,139,865,85,3,1464,56,431,53,6,24,159,700,185,2,13,4488,382,23,161,551,148,1738,345,126,524,1459,226,184,113,391,389,20,30,1721,47,4,158,295,198,645,158,485,66,1047,938,7,0,154,533,0,5152,301,1,7,1067,428,119,915,12,6,7,189,217,31,755,35,4,80,137,2,1075,528,358,9,114,647,1,15,1,425,2903,12,1345,946,6,92,239,211,525,42,80,268,404,1,208,153,462,21,1122,148,295,1353,153,631,1001,5734,609,101,396,2202,13,2,208,29194,654,616,2381,1551,21,6,1,1,2,12,191,12,44,197,80,97,51,353,484,97,8,1560,165,3,1,1,5,2,543,0,3,103,1,8,383,131
"TCGA.BJ.A2NA.01A",188,40,24,52,17,4,184,30,7,79,0,40,2,121,268,0,1,584,1,21,5,2,15,21,37,11,1,40,7,8,0,3,11,0,3,11,137,139,61,2,588,1,12,30,3,5,21,234,8,2,1,175,94,0,49,153,3,744,100,26,171,270,81,105,21,101,40,4,18,475,7,0,20,64,94,26,15,257,24,332,212,18,0,20,146,2,1688,53,0,7,374,162,94,122,0,1,9,30,43,40,531,6,2,7,25,0,332,113,10,2,39,149,0,6,0,75,87,0,490,154,12,4,42,206,130,4,47,55,171,1,69,40,100,7,312,60,39,288,6,21,143,1678,184,8,63,528,3,0,50,3938,149,23,636,200,1,0,0,3,1,12,557,0,1,31,24,17,0,56,51,21,17,98,26,1,4,0,0,2,0,1,2,21,0,0,61,6
"TCGA.E3.A3E1.01A",194,59,11,85,15,2,156,42,1,139,0,34,2,207,244,0,1,452,16,20,1,0,12,20,23,34,4,42,2,3,1,1,7,0,0,1,113,223,60,1,403,23,30,16,1,2,21,165,20,1,0,120,98,0,34,160,28,473,79,64,99,223,106,82,15,61,43,4,5,460,9,0,32,119,65,55,12,278,18,420,232,21,0,23,111,1,2357,94,0,2,289,98,80,146,2,0,9,30,47,5,242,6,3,15,40,2,385,1,17,0,39,143,0,4,0,92,115,0,485,143,2,15,23,159,193,9,12,193,71,0,35,23,137,11,292,32,43,763,12,30,151,1232,139,12,42,561,0,0,50,5813,184,21,896,222,1,0,0,3,0,5,98,1,2,25,67,47,5,65,37,16,5,40,21,2,1,0,0,2,17,0,0,18,1,1,30,4
"TCGA.EM.A2CR.01A",183,5,0,18,30,0,880,46,0,1,0,229,0,78,126,0,2,98,8,39,2,1,9,5,15,0,3,2,24,12,0,2,4,1,5,0,6,24,8,1,124,56,15,8,0,2,0,175,6,0,0,0,17,0,27,10,20,190,13,5,379,56,154,163,1,9,6,30,27,249,20,0,223,21,0,8,2,87,0,107,15,10,0,0,20,1,2721,37,0,0,43,25,35,557,0,0,1,0,28,3,94,6,1,0,2,0,74,511,2,10,12,47,0,1,3,50,24,0,121,49,0,0,1,190,42,34,9,17,103,0,6,3,11,7,123,27,0,15,0,0,15,103,254,4,11,175,0,5,15,8,0,0,553,5,0,0,0,0,1,2,6,0,3,6,56,2,0,6,4,1,0,4,8,0,4,0,0,4,0,2,0,5,0,0,0,0
"TCGA.DE.A3KN.01A",337,40,3,244,61,2,267,52,5,168,0,107,0,103,194,0,8,447,5,31,8,1,17,30,178,6,1,44,2,5,4,1,2,0,0,7,130,234,37,3,106,4,61,8,4,11,6,119,17,0,1,100,49,0,24,73,8,707,63,11,346,324,161,12,15,110,43,3,37,522,23,1,32,39,63,40,10,131,27,173,243,12,1,12,131,1,1459,28,1,5,244,74,32,253,2,0,1,23,52,37,159,4,3,7,13,1,265,97,24,1,37,161,0,1,1,61,42,2,264,105,8,10,52,32,75,24,51,13,69,3,30,12,99,20,297,111,24,353,7,229,71,909,426,13,63,500,4,1,30,1818,99,0,389,7,17,1,0,3,3,4,3,1,1,39,27,6,2,31,21,3,3,21,9,1,0,1,0,0,5,3,0,15,0,1,39,2
"TCGA.FY.A3R9.01A",576,217,13,1006,55,4,89,26,6,16,0,21,5,78,523,1,12,438,10,16,0,1,6,8,35,6,5,7,4,0,1,3,8,0,0,1,32,290,34,2,420,16,61,15,0,4,23,89,4,2,1,40,76,0,21,17,23,343,13,25,100,136,79,0,1,80,9,173,16,281,3,0,9,23,9,9,8,57,2,106,37,6,0,1,33,1,999,25,0,4,131,16,23,85,0,0,0,4,12,10,87,1,2,1,7,0,127,89,4,0,11,21,1,3,0,24,5,1,114,18,10,1,8,20,61,5,35,18,6,0,9,12,21,15,63,23,7,194,1,7,6,501,209,2,13,85,0,0,23,84,20,1,179,25,1,0,0,2,0,1,2,0,2,4,12,15,0,6,30,3,0,1,11,0,0,0,0,0,0,6,0,0,0,0,2,0
