"","FNDC4","ABCC11","ALDH3B2","EDIL3","CHST6","HOXD1","HP","GCKR","ENC1","ACOT12","FUT2","PLA2G2C","SLC6A14","ALPL","DGAT2L6","CNGA3","AOC1","ADRA2C","GDNF","PASK","SRPX2","PLPP4","TCN1","SLC28A3","CD177","STMN2","CA12","IL37","UGT3A2","TNNI3","TMEM255A","WDR49","CALB2","QRFPR","PRPH","CHGB","PKP2","DMBT1","BPIFB1","ABCC12","MTTP","PLEKHS1","ZFR2","C6ORF141","ATP12A","PROK1","FAM196A","HDC","ADH4","SUSD2","COL6A5","SEC14L4","GABRQ","CSMD2","IL31RA","SLC10A4","CORIN","INA","SCN8A","HGNC:18790","IZUMO1R","TGM5","RHCG","PAPPA2","CRYM","SERPINI2","ROS1","PCP4L1","PTH2R","F5","FADS6","FAM26D","NOTO","C6ORF10","KCNA4"
"TCGA.BJ.A45D.01A",4867,115,16,491,186,1,66,49,902,0,76,3,1,2855,1,49,2120,168,0,1749,92,23,8,37,11,3,6852,2,11,6,143,0,15,238,46,51,21,23,3,11,1,47,40,5,35,92,37,52,0,3056,1,11,82,104,6,129,21,1,55,49,2,3,64,21,4,0,0,106,9,405,5,5,0,2,0
"TCGA.EL.A3ZK.01A",2029,61,64,676,98,6,23,24,998,0,312,5,280,679,31,13,122,50,21,1140,82,44,51,119,4,8,686,46,4,0,95,4,42,9,69,10352,468,5,46,2,6,98,5,55,6,15,105,21,2,885,2,40,10,43,6,26,23,26,1178,185,1,20,18,6,55,4,244,42,5,120,1,7,2,5,0
"TCGA.DJ.A3V0.01A",2212,69,35,1341,90,9,50,46,801,4,228,15,201,869,4,23,23,220,8,778,480,171,5,76,15,32,2280,0,12,7,67,3,130,16,24,303,126,16,8,2,5,4,133,20,0,35,30,42,3,1125,0,27,55,51,4,6,82,3,113,43,0,6,2,32,10,3,0,24,5,143,0,0,1,0,2
"TCGA.DJ.A2Q6.01A",916,411,26,3786,79,27,78,21,2382,100,203,13,53,1033,5,23,198,203,7,5772,824,103,23,144,709,189,3553,0,11,23,295,9,161,103,40,173,1862,49,4,5,9,30,74,18,10,5,53,24,2,3009,15,27,27,90,2,21,227,25,144,383,1,3,15,37,17,8,2,37,18,1036,1,1,0,1,0
"TCGA.KS.A4I7.01A",1842,1083,56,285,49,65,56,24,1538,50,97,1,74,616,5,9,194,76,39,25370,42,7,1,90,18,40,11747,0,1,10,341,0,5,18,61,238,335,126,6,76,3,2,126,9,12,0,15,8,1,3869,17,9,18,24,1,27,10,28,37,34,3,1,1,4,1,0,11,9,3,79,0,0,1,1,0
"TCGA.EL.A3ZQ.01A",1773,106,67,324,8,0,92,43,785,39,40,12,15,1211,0,0,3,314,28,531,31,3,3,23,6,18,162,0,3,15,26,2,21,44,136,124,126,55,49,5,5,0,15,15,3,0,5,9,0,5403,15,0,6,7,1,13,10,6,13,51,1,0,0,47,9,0,1,0,0,34,0,3,4,3,0
"TCGA.FY.A3WA.01A",184,37,1,700,65,0,8,16,563,2,61,0,11,894,0,17,300,1093,0,2647,40,143,2,50,2,25,177,1,1011,55,94,8,4,146,16,763,12,1,3,1,9,6,9,2,5,0,15,8,2,247,0,1,40,118,1,79,73,2,584,25,0,0,0,107,20,1,1,300,13,55,0,0,3,1,1
"TCGA.E8.A3X7.01A",2451,88,34,380,119,15,27,33,916,3,178,12,65,547,4,7,30,130,5,945,242,90,23,68,6441,61,4035,15,8,4,49,1,4,30,61,1047,168,25,2,1,3,4,8,10,11,4,16,11,2,2400,8,2,5,15,1,2,113,25,35,40,3,5,0,27,3,0,0,11,1,94,0,1,2,4,0
"TCGA.DJ.A3UV.01A",4916,2268,4,1465,200,16,57,100,2153,142,183,6,104,742,7,71,103,28,47,26694,312,97,21,94,23,73,4960,2,20,7,839,3,27,82,30,310,265,8,33,222,10,30,18,56,6,16,53,3,1,7588,30,199,63,84,1,49,40,40,101,111,7,1,6,66,21,1,17,139,3,475,23,0,1,3,1
"TCGA.EL.A3ZL.01A",473,37,6,1154,17,3,3,7,490,0,43,5,3,650,4,2,30,471,7,2015,160,71,0,21,2,161,2605,0,0,15,89,1,89,13,2,10,199,28,0,2,1,3,24,2,2,1,13,7,0,821,5,2,53,100,6,21,44,7,191,34,0,2,3,8,15,0,4,9,3,87,0,0,1,2,0
