"","PID1","ABCA9","GRIA1","MMRN1","GPC3","ACKR2","NRXN1","MASP1","RELN","LYVE1","KLHL4","IGSF10","VSTM2A","FGF10","GLI1","DPT","TFPI","WNT11","F10","MYOC","ADH1C","SUCNR1","PIK3C2G","DCDC2C","NLGN3","C1QTNF7","TNNT3","FBLN5","FGL2","CFD","CHRDL1","SLC1A7","SLC17A7","FOXD3","ABCA10","FLRT2","DBX2","ABCA6","GDF10","PCSK6","BRINP3","PGM5","ADH1B","VIT","MYOZ3","NTN1","RSPO3","SVEP1","ART4","FAM180B","OSR1","AKNAD1","CHODL","FMO2","PODN","PLD5","CCBE1","GFRA1","SCARA5","RERGL","LRRN4CL","ZP2","HHIP","TNXB","KCNIP1","APOD","CYP8B1","STK32B","NDNF","KLHL33","FBLN1","SV2B","TMEM132C","ROBO3","PHF24","DES","TSPAN11","MYZAP","ANGPTL5","MFAP4","FAM135B","DAB1","DIO3","CHST9","MRAP2","PCOLCE2","CPED1","OTC","FLNC","DCN","ACTN3","C6","MAB21L1","HGF","NPY5R","FAM180A","GFRA3","OGN","ACSM2A","SOX21","CCL21","SCN3A","OLFML1","ALDH1A2","SRPX","HSPB6","FXYD1","L1TD1","TBX1","GSTM5","RHAG","LMX1A","OSTN","TSPAN8","ASPA","PI16","ABCA8","FMO1","TNFAIP8L3","HMGCLL1","LAMA2","BPI","FAM205C","IL33","EFNA5","PKDCC","PTGFR","MEOX2","BHLHE22","LGI1","CXCL12","GAS1","FGF7","PLCXD3","PRRX1","TMEM119","C14ORF180","KCND2","PDGFRA","FBLN2","LYPD6","COLEC12","NAV3","OMD","HTR2A","ENPP6","CNTN1","HAND2","MYH11","GFPT2","ZIC2","CMTM5","TSKS","C7","BMP5","MAB21L2","ZNF488","TRHDE","CDH19","SLC30A10","RGS7BP","OXGR1","KIAA1755","GLYATL2","GCOM1","C1S","GSC","OSR2","XPNPEP2"
"TCGA.KS.A4I7.01A",16,23,1,13,7,23,0,2,3,32,18,8,0,0,4,13,243,15,23,73,6,310,1,0,30,50,5,811,535,295,63,3,31,0,57,565,1,42,3,28,11,181,2,3,11,31,30,183,18,0,9,0,46,81,76,4,8,40,4,37,6,1,23,311,0,364,0,27,15,2,312,0,5,153,13,9,146,37,6,1211,2,4,2,0,0,13,92,3,74,743,2,1,4,126,4,13,8,0,1,0,49,33,154,8,590,120,15,3,94,60,0,0,3,0,73,94,389,43,42,18,61,0,0,73,37,78,0,84,6,0,1654,33,68,25,222,172,0,1,80,707,1,137,11,4,0,4,6,61,478,32,0,3,1,389,61,196,8,0,0,1,0,6,37,1,1,836,21,13,5
"TCGA.EL.A3ZQ.01A",53,7,0,53,9,15,0,6,74,21,4,11,0,1,4,747,283,59,63,30,7,177,2,0,4,20,16,759,519,827,110,2,30,0,11,414,0,33,26,31,5,308,12,1,6,2,33,119,11,5,27,0,78,149,184,0,15,253,6,6,2,4,8,122,0,305,0,7,5,0,327,0,2,133,37,47,21,15,2,160,0,9,1,0,0,4,35,0,34,1505,0,4,0,88,0,7,3,6,2,0,160,12,89,2,242,188,21,1,374,142,0,1,0,3,9,57,111,13,49,9,53,1,0,63,31,46,0,43,9,13,2678,8,97,23,322,308,4,2,178,445,0,44,15,6,3,5,2,42,146,46,0,2,5,2336,1,95,15,1,0,2,0,12,18,0,0,1557,6,20,1
"TCGA.FY.A3WA.01A",17,26,1,42,18,55,0,8,24,74,37,47,0,0,13,20,160,683,3,1,3,69,1,0,92,23,5,951,518,160,3,5,15,0,129,874,0,42,343,33,0,144,4,6,16,56,9,63,12,5,4,0,9,78,43,11,9,63,2,37,7,0,23,442,0,23,7,16,46,4,212,1,5,265,12,31,40,15,23,80,4,18,1,1,0,37,123,1,63,120,5,1,2,362,4,15,5,21,0,0,0,51,86,5,55,49,2,5,50,42,0,3,1,6,47,55,100,6,44,17,225,2,1,165,32,92,1,27,1,2,2637,73,47,168,343,140,1,1,47,953,10,67,28,15,8,5,2,2,2625,165,0,6,1,10,6,40,6,1,0,1,10,2,10,4,2,94,9,63,1
"TCGA.E8.A3X7.01A",47,27,1,26,17,27,0,7,13,40,11,28,0,7,27,303,317,51,75,43,23,165,1,0,21,139,24,1217,660,359,159,24,33,0,46,286,1,90,55,17,13,292,80,17,21,46,47,341,5,12,37,2,25,153,914,0,6,104,159,30,66,1,1,597,4,2175,1,15,51,4,6831,11,30,128,9,21,199,52,2,1463,0,5,12,0,10,73,117,0,128,12328,0,12,4,99,1,53,8,304,0,0,398,13,253,11,209,154,16,6,34,66,0,3,1,65,23,306,315,26,63,4,551,6,1,247,119,146,6,148,47,0,3593,177,226,18,1985,730,0,11,495,2737,1,679,61,389,0,15,23,5,483,341,1,1,12,1992,0,5,11,6,7,1,0,4,110,0,3,5366,11,53,42
"TCGA.DJ.A3UV.01A",285,283,5,1072,639,106,26,88,523,637,103,311,6,35,100,3352,1386,158,221,191,23,1056,5,3,74,226,63,3082,2993,359,1717,30,76,1,137,1659,8,278,286,133,140,628,462,74,30,156,126,922,190,99,205,2,78,301,1505,43,24,406,438,43,101,3,64,2582,20,1523,7,90,89,20,7663,89,21,330,33,576,367,52,27,2354,6,13,25,1,25,162,545,3,628,15502,4,44,35,264,27,86,9,978,4,7,7939,135,757,92,2958,722,40,46,142,189,0,4,0,44,185,2229,787,133,229,25,1461,13,1,785,283,428,30,450,47,12,4445,330,353,113,3502,1240,4,42,963,5799,11,905,131,547,13,12,166,142,4400,514,1,5,16,5084,61,303,13,6,25,4,39,10,314,4,18,9489,35,150,46
"TCGA.EL.A3ZL.01A",37,37,0,168,37,23,1,5,20,227,17,6,0,1,15,75,836,28,63,175,1,67,2,0,23,43,20,1649,320,295,46,9,35,0,105,270,2,68,4,57,20,184,11,0,11,50,21,355,27,3,35,0,27,90,367,18,7,23,4,7,30,0,10,393,4,635,4,37,18,0,1927,11,15,426,5,30,81,47,2,2221,1,20,6,1,3,8,151,0,104,4615,2,2,17,35,5,27,3,73,2,7,657,74,376,31,165,250,39,26,84,11,0,0,0,10,79,55,282,27,43,12,298,4,1,248,37,160,1,127,12,2,554,277,46,34,1956,261,0,24,171,1980,3,261,43,104,0,2,61,76,2790,172,0,2,8,416,40,205,0,4,2,1,1,4,44,6,4,1603,53,71,5
"TCGA.DJ.A3V5.01A",103,178,1,98,63,46,2,8,30,84,27,84,1,20,74,303,490,40,80,15,4,270,0,0,49,514,20,1988,1314,434,445,30,55,0,108,621,1,343,84,37,67,323,80,16,42,305,57,518,28,10,49,2,51,277,1244,4,3,295,139,64,51,0,10,1402,8,2620,6,49,159,9,11792,17,6,129,7,39,520,47,15,3387,5,9,21,1,27,97,351,0,381,23557,3,4,18,315,4,146,3,836,1,0,119,20,586,47,433,199,26,3,50,117,0,6,4,17,32,247,737,37,172,4,1430,6,1,575,146,335,7,310,98,0,4189,551,457,92,5319,1178,0,37,1038,5180,10,1349,222,939,15,11,111,10,2321,822,0,0,8,4255,39,25,2,21,24,3,12,4,298,5,1,12138,11,134,71
"TCGA.ET.A25K.01A",30,25,0,92,108,24,0,27,21,253,34,12,0,0,25,371,442,127,31,300,2,212,0,0,39,60,15,1661,591,111,169,21,23,0,35,431,2,47,32,61,18,374,126,25,17,76,23,253,60,23,37,1,23,98,343,5,1,40,40,28,5,0,5,1309,3,351,2,65,1,3,1113,25,20,184,31,300,122,31,13,505,0,5,6,1,5,30,184,0,319,2406,3,4,6,46,3,37,4,245,0,7,523,66,257,33,217,259,17,6,76,21,1,4,0,7,57,201,724,28,74,12,281,4,0,349,69,85,2,122,7,0,1286,92,47,63,651,514,1,9,211,3224,23,161,50,108,3,8,15,46,2862,90,1,4,8,355,18,128,2,3,0,2,12,7,63,0,8,1207,3,55,4
"TCGA.DJ.A2PR.01A",23,13,0,80,52,9,1,8,5,65,15,11,0,0,7,63,407,11,8,0,3,111,0,0,20,20,8,1111,1208,169,60,1,15,0,46,386,0,46,4,32,1,1090,51,1,15,44,82,49,61,3,15,4,50,121,140,10,10,13,6,12,0,0,68,500,4,207,0,47,3,1,234,3,1,136,43,98,68,26,6,107,2,8,4,1,4,2,162,5,40,1326,0,5,5,63,0,4,2,25,0,2,55,2,75,26,177,80,8,13,53,10,1,0,0,3,16,13,773,2,56,2,98,4,0,436,33,31,1,52,8,1,959,53,21,56,556,203,0,1,140,1842,4,165,21,16,2,6,7,6,1459,99,0,1,3,735,0,35,4,5,3,1,9,21,52,0,2,2816,3,11,1
"TCGA.KS.A4I9.01A",15,26,0,49,3,30,2,2,8,146,8,27,0,2,5,17,332,10,21,18,2,215,0,0,11,51,4,543,748,502,33,15,9,0,86,201,0,53,10,33,3,172,13,1,30,76,26,80,2,1,8,1,30,17,117,0,13,7,0,6,7,0,5,601,1,80,0,21,5,0,598,7,0,53,25,16,103,37,2,97,3,4,2,0,1,23,142,0,51,1229,1,0,7,105,0,13,2,53,0,1,12,16,143,31,154,55,9,9,30,42,0,0,3,0,35,23,231,18,63,3,75,0,0,184,66,60,1,87,5,1,2275,71,81,15,554,139,1,3,103,778,0,300,23,23,0,11,28,8,1063,122,0,2,3,285,20,105,2,4,1,0,2,0,47,1,1,1088,3,21,8
"TCGA.ET.A39P.01A",66,10,1,79,6,51,2,0,5,79,21,18,1,6,7,32,391,3,10,11,4,181,0,0,21,84,3,1218,829,395,60,12,24,0,21,194,0,47,17,21,4,346,7,8,55,82,30,142,4,2,7,2,34,30,281,3,2,32,26,2,15,0,3,1129,3,951,5,53,35,1,3735,11,0,226,11,65,156,43,3,283,4,3,9,0,11,44,177,0,328,5263,4,2,3,108,2,39,7,103,12,1,15,9,215,33,265,61,12,5,76,99,0,0,0,5,63,63,356,7,139,18,148,3,2,270,253,50,1,126,10,0,1023,185,146,23,1380,305,2,8,100,2485,5,438,59,97,3,18,85,7,625,208,0,2,5,253,25,6,6,9,1,0,3,1,47,6,6,1976,6,34,28
"TCGA.DJ.A2PY.01A",66,35,0,63,2,16,0,0,2,61,15,47,0,27,8,126,268,15,4,5,0,253,0,0,16,215,7,718,1036,71,44,9,6,0,17,330,0,57,3,28,4,98,3,3,15,130,63,211,6,0,7,0,23,117,278,2,4,59,13,1,10,0,16,406,2,288,2,34,120,0,3927,32,5,67,12,161,94,32,11,887,6,10,9,0,6,151,199,0,127,9075,0,1,11,127,1,51,1,686,0,2,88,40,277,33,229,118,1,6,31,51,0,1,0,0,34,27,217,20,74,5,380,1,0,121,63,68,1,86,15,0,1597,443,303,13,2805,413,0,60,376,1312,0,978,80,407,8,0,505,5,618,327,0,2,3,340,3,84,1,27,0,0,4,7,56,0,8,3836,1,80,16
"TCGA.ET.A40S.01A",49,78,1,37,74,87,2,10,9,37,55,135,2,1,9,262,243,37,28,2,21,261,2,0,35,50,10,851,1380,573,2459,12,34,0,139,956,0,189,32,33,13,234,92,10,21,158,28,84,40,27,39,0,32,81,232,5,5,53,50,46,11,2,50,555,10,2527,21,40,20,3,660,10,3,139,7,63,968,40,9,185,8,12,2,2,1,37,137,0,74,2293,3,6,6,184,1,7,17,63,1,10,154,71,87,37,1675,119,16,11,92,85,0,0,0,16,20,101,274,7,82,50,3415,2,1,205,773,922,2,81,24,2,4216,87,85,259,376,185,0,2,133,767,2,281,7,44,0,13,781,49,707,240,0,2,10,1244,392,64,8,12,1,0,89,2,21,3,2,3405,6,28,6
"TCGA.DJ.A2PW.01A",69,37,4,74,21,42,1,46,3,52,0,31,0,1,33,74,523,40,63,8,9,140,0,0,49,181,5,1749,1192,367,413,6,18,0,30,530,0,88,12,52,9,217,71,13,15,49,213,222,67,10,39,2,37,111,293,0,10,7,146,9,7,0,5,476,121,4924,3,55,73,5,3035,5,6,94,68,32,803,71,4,936,0,8,15,0,2,33,161,1,106,7466,0,15,11,196,3,20,5,128,0,0,168,4,428,25,895,193,34,6,271,1330,5,0,2,17,23,50,551,6,74,0,367,8,1,475,539,53,23,7,12,3,1541,78,271,75,818,801,0,23,419,4287,23,1047,49,1044,2,10,85,153,748,189,0,0,4,1985,10,184,12,9,2,0,21,15,104,1,7,4601,16,34,6
"TCGA.DJ.A13U.01A",27,12,0,94,6,31,1,6,1,95,8,5,0,2,12,47,304,11,33,1,3,160,0,0,17,35,1,955,719,319,42,4,15,0,27,368,1,21,5,16,5,206,11,1,9,67,16,92,10,1,11,1,30,21,101,5,2,7,13,20,30,0,1,938,2,315,2,21,42,3,741,5,2,35,21,31,52,30,1,185,1,6,3,0,5,7,188,0,46,1750,0,2,6,65,1,12,0,43,3,0,13,98,168,49,113,50,2,2,27,37,0,1,0,7,40,25,184,5,61,6,304,0,0,194,137,53,3,120,3,2,2319,163,51,24,614,168,0,7,80,1607,4,133,23,34,4,4,8,9,1393,514,0,0,2,391,3,68,5,0,1,1,6,30,20,2,3,925,8,11,5
"TCGA.ET.A40T.01A",98,137,1,261,184,61,1,46,98,220,42,127,3,10,61,620,734,61,103,39,6,853,2,0,49,144,23,2619,1556,683,584,30,57,2,127,855,3,188,111,52,33,650,169,16,44,122,98,576,86,49,74,3,52,206,707,9,10,130,277,43,43,2,21,2186,15,1981,6,55,55,10,3684,34,13,601,15,346,322,55,18,2284,6,9,11,1,16,80,335,1,407,9018,2,15,30,274,15,43,4,493,0,1,1215,69,556,49,693,379,40,39,50,108,0,2,0,47,172,866,1311,37,123,30,933,5,1,976,110,317,26,442,30,5,3248,144,271,110,2129,706,3,6,578,4337,5,758,78,207,12,3,21,34,4284,301,2,5,20,4197,40,185,11,12,10,2,37,15,213,0,3,6787,25,56,39
"TCGA.BJ.A2N8.01A",49,42,0,592,44,24,0,20,8,135,30,10,0,2,7,56,630,40,46,9,2,501,0,2,31,773,9,793,621,465,50,5,21,1,61,549,1,61,53,61,25,282,23,4,18,57,35,65,16,6,9,2,26,64,67,1,11,103,9,24,7,0,6,322,2,242,5,55,33,1,351,7,1,104,26,30,88,30,23,277,11,4,0,9,2,47,257,4,57,900,1,12,9,49,11,15,23,40,52,1,63,66,194,194,305,94,11,17,101,122,0,0,0,8,126,75,2127,84,110,30,39,3,1,166,12,100,3,198,7,2,1180,55,34,25,498,92,10,3,370,1114,4,253,23,12,1,8,11,12,631,79,0,5,3,236,80,191,4,15,12,0,7,13,23,1,1,1023,2,9,12
"TCGA.BJ.A192.01A",81,60,0,53,128,194,0,40,5,12,10,100,3,1,3,6,295,18,92,0,9,126,0,0,28,88,2,1318,630,243,376,12,33,0,87,282,0,73,457,40,3,576,74,2,11,67,2,34,40,5,20,1,35,117,295,0,4,16,26,5,0,0,4,841,5,153,21,23,53,3,2146,5,3,73,1,1,57,87,5,193,5,1,2,0,21,5,159,0,1758,2202,2,1,7,121,1,10,13,2,1,0,6,55,135,10,129,160,20,3,21,60,0,0,0,130,63,16,696,8,149,10,146,2,1,416,15,75,1,65,7,6,2644,44,7,80,962,577,18,1,226,859,1,49,74,8,0,3,4,71,438,88,1,3,1,530,0,4,6,21,1,2,2,0,26,2,7,35419,3,8,3
"TCGA.EL.A4K4.01A",101,74,0,241,146,60,2,3,7,148,15,21,0,66,21,584,962,28,21,24,5,78,0,0,46,225,95,2290,960,1316,248,137,39,1,34,874,1,161,10,32,1,236,0,9,20,121,42,588,0,3,90,1,25,462,3556,1,31,383,160,4,100,0,8,997,2,1527,0,103,63,3,16884,64,3,624,17,362,322,59,1,973,0,9,10,0,10,49,253,0,955,35616,0,2,13,203,0,274,4,661,1,0,110,5,642,60,986,267,18,7,37,85,0,1,1,17,17,55,434,252,383,4,1234,13,2,261,194,154,113,242,59,0,4087,2588,755,12,4193,1773,0,160,1207,6368,5,2415,122,716,49,9,290,55,1869,796,2,0,3,288,15,143,0,10,0,3,3,7,229,2,15,14907,23,199,42
"TCGA.ET.A3DO.01A",84,68,1,443,30,18,1,0,17,63,11,5,0,0,12,603,539,21,33,4,0,227,0,0,21,43,5,1078,1546,236,122,4,15,6,46,337,0,133,6,21,9,179,68,11,9,135,94,196,49,7,17,0,23,315,215,0,30,193,21,2,10,0,2,571,0,553,3,40,8,6,1758,24,1,84,16,104,108,34,7,206,1,3,9,1,1,21,165,0,118,5959,8,10,7,166,7,13,4,98,1,2,207,24,223,37,226,75,8,8,35,33,0,0,0,5,7,123,285,17,63,17,281,6,0,497,71,133,7,60,33,1,3377,133,332,27,1554,328,1,18,683,2229,4,403,52,56,5,12,4,18,448,623,0,0,11,2967,16,108,2,6,0,0,13,13,113,2,3,7103,5,35,30
"TCGA.EL.A4KH.01A",51,24,3,171,165,40,12,17,30,153,28,21,1,0,21,717,545,92,126,15,11,247,0,0,23,33,42,1557,602,1848,165,18,92,0,60,737,0,78,85,44,12,707,110,27,33,50,21,327,27,94,47,1,43,111,392,13,11,178,64,21,61,0,6,803,18,940,15,56,5,0,1661,15,7,228,65,658,84,37,7,807,6,28,8,1,8,94,104,0,254,3190,4,12,3,55,2,25,3,177,7,3,2038,51,206,42,381,562,78,9,277,153,1,1,4,6,76,807,785,65,175,15,171,6,0,98,80,175,0,135,18,1,2495,61,61,16,838,501,4,1,120,2116,1,312,10,61,12,0,5,33,2085,165,0,5,23,590,24,144,3,0,0,3,0,12,74,2,1,1358,20,37,16
"TCGA.CE.A3MD.01A",40,107,1,121,135,46,1,10,23,308,32,23,0,1,47,64,586,13,88,3,1,385,3,0,51,74,4,2347,1539,376,696,9,27,0,123,2106,0,98,3,49,0,623,12,0,20,40,23,86,99,4,12,5,23,81,253,1,4,5,4,64,11,0,20,1303,9,264,3,25,76,3,1091,13,2,282,9,71,133,25,15,682,0,7,0,0,11,68,252,0,92,2177,7,6,13,142,7,13,1,66,1,1,198,68,405,15,1459,242,28,26,10,20,0,1,0,0,100,50,1102,4,79,23,420,10,0,1133,108,257,0,381,11,0,2844,165,44,118,1819,604,1,1,298,2275,1,229,92,21,4,15,12,3,2633,90,0,4,15,2749,7,6,13,0,17,2,5,16,179,4,0,1833,8,17,9
"TCGA.E3.A3DZ.01A",65,80,0,573,98,44,2,37,33,207,55,39,1,6,27,524,516,65,23,4,1,465,2,0,26,59,15,741,808,363,454,4,26,0,104,863,4,87,39,49,34,324,113,33,7,133,3,275,40,35,27,1,20,49,236,7,2,97,97,9,8,0,9,949,0,131,5,75,18,2,909,37,3,247,4,42,406,52,21,389,2,8,0,6,26,51,396,0,85,2424,5,1,4,149,35,12,8,146,1,3,130,12,330,133,103,179,15,15,37,8,0,7,1,13,211,259,1668,130,86,33,171,0,1,306,122,177,11,254,11,1,730,113,67,60,953,267,5,15,104,1056,9,115,49,98,7,5,40,11,885,63,0,2,4,163,23,239,2,2,1,2,11,25,37,5,1,997,21,28,13
"TCGA.EL.A3CP.01A",60,63,0,111,20,56,1,20,23,119,33,217,0,13,30,121,452,42,24,343,13,253,0,0,33,232,10,945,631,238,144,18,35,0,57,596,0,105,33,74,32,340,21,17,16,82,33,295,10,2,30,6,55,76,584,2,2,23,142,7,47,0,95,1970,6,783,6,28,24,4,3106,12,5,40,30,345,99,24,4,2005,3,16,2,3,11,51,308,0,211,7152,3,6,4,219,0,99,4,433,0,4,28,113,259,37,257,144,12,7,160,57,0,0,0,113,47,99,448,37,122,3,594,9,0,156,223,94,9,259,23,0,3529,177,319,46,1905,358,0,12,936,1814,21,568,108,285,10,23,64,0,2205,267,3,0,5,1999,24,17,6,5,11,0,6,4,242,0,2,2724,17,46,15
"TCGA.DJ.A2PN.01A",75,12,2,39,42,89,0,42,30,46,23,21,0,1,15,27,687,55,42,25,1,267,0,0,31,122,49,1930,755,277,123,12,26,0,61,775,2,69,21,49,15,563,97,1,37,282,68,74,40,3,115,0,18,126,166,21,15,25,37,191,5,0,89,1318,2,1228,10,143,34,1,990,16,1,160,8,330,153,76,16,792,3,9,2,0,7,18,298,0,244,2470,1,5,3,92,11,27,3,332,1,0,23,59,169,55,153,197,24,0,73,1925,0,0,0,35,42,181,292,5,89,4,211,3,0,562,177,108,5,84,7,1,2901,206,85,227,748,207,2,3,168,2469,5,271,34,55,10,3,5,15,7329,134,0,0,2,1012,40,57,7,4,1,3,31,5,42,3,17,1223,3,18,4
"TCGA.EL.A3ZQ.11A",1231,2419,25,4266,1813,208,88,348,1633,2730,368,1283,5,270,189,13082,2126,771,543,4425,66,1526,17,21,98,1049,230,7274,5181,7026,11424,241,236,17,1029,2799,20,1224,1066,319,134,2099,5049,755,53,749,577,2602,332,350,543,24,149,3064,7914,103,108,2181,2903,227,295,4,156,6057,30,10947,23,169,234,31,22384,105,213,1514,80,2047,544,148,55,10340,31,23,108,9,43,1096,790,27,1233,46654,24,201,40,475,111,194,28,2520,40,3,14304,178,945,641,1615,1799,179,33,387,1282,6,23,108,166,305,5424,5794,106,457,84,3194,8,6,2089,462,882,55,919,103,59,12724,1151,924,573,5718,877,53,124,1863,11415,53,2212,219,1491,27,47,367,131,7683,1049,3,21,44,17594,166,555,21,47,84,9,59,50,367,18,20,15336,53,244,124
"TCGA.BJ.A3PR.11A",295,175,8,644,1063,90,50,142,290,547,53,35,2,3,107,11095,1039,815,458,412,10,519,6,0,44,247,223,2803,2903,4692,897,75,80,1,94,556,6,213,471,42,40,704,1135,274,34,94,121,988,140,485,197,5,50,130,946,4,23,498,807,105,272,0,23,857,10,2870,7,101,40,0,12089,55,59,509,46,541,382,99,39,3070,7,3,35,0,10,416,98,2,319,15688,5,94,31,142,10,47,21,853,21,2,18965,42,357,63,752,535,127,21,175,127,0,2,18,162,95,2923,702,65,139,9,407,23,0,445,215,324,13,156,43,7,4664,387,248,94,1756,1773,11,11,561,3817,3,653,28,350,5,47,117,117,769,265,9,2,40,3415,37,137,16,13,23,4,1,12,317,3,6,11414,87,34,44
"TCGA.KS.A41J.11A",674,671,55,4881,1907,509,53,197,1848,3413,462,611,6,106,177,6383,2321,641,327,1089,37,2496,3,4,68,595,173,3923,5086,3859,5006,42,160,4,465,3536,9,570,1415,282,103,1964,1207,217,57,885,128,1407,341,238,240,8,201,943,1447,47,63,757,783,226,261,3,142,4044,80,2439,61,156,226,21,9936,203,76,577,139,744,735,115,40,3446,8,27,27,3,31,222,488,1,1600,27302,6,119,55,616,34,74,15,1129,24,12,23989,495,711,194,1657,692,55,82,571,584,1,15,3,124,122,1542,2295,160,425,51,1575,16,0,1063,438,586,56,713,57,11,8675,675,710,209,3354,1345,24,56,1071,4990,28,1992,137,748,24,16,267,61,3806,607,2,5,24,6742,234,362,20,20,35,8,23,65,197,5,15,12859,40,123,49
"TCGA.EL.A3MY.11A",773,855,15,2136,1138,150,101,219,1033,914,126,702,28,148,178,6823,1514,514,322,812,92,1508,4,2,76,790,84,4542,4626,5712,5400,103,200,9,248,2617,15,671,1165,222,173,1212,1878,416,65,295,197,1345,405,363,497,5,117,1044,3266,26,95,737,3382,286,298,3,63,4940,40,6624,7,133,178,20,17973,60,60,318,61,1415,679,82,75,5602,12,26,120,8,39,478,835,21,696,36666,8,122,50,530,52,238,37,2304,6,21,4658,277,707,158,1110,1244,79,69,151,429,0,11,15,271,160,3039,3277,84,171,32,2170,3,0,1559,301,283,115,716,61,12,7521,1590,1496,462,5596,1209,25,66,1386,9341,10,1550,197,1357,44,5,259,144,8456,835,0,13,47,7349,47,268,18,23,67,3,78,9,280,5,10,11038,40,142,122
"TCGA.BJ.A2NA.11A",530,312,12,1094,718,133,76,169,509,571,80,236,13,15,105,3061,1333,314,257,189,33,1061,4,1,55,305,98,3528,3047,635,1771,30,168,5,74,1345,21,264,323,119,52,907,1413,244,42,172,123,963,185,300,219,1,50,715,1053,23,35,588,1080,465,118,0,30,1309,31,5433,8,122,90,7,6976,118,40,285,65,1491,571,111,55,2855,15,15,25,2,32,126,454,21,495,17692,1,95,37,317,15,78,33,1052,12,3,9905,154,512,149,609,752,56,65,71,454,0,3,27,262,113,2596,1035,131,161,26,701,20,0,1219,183,332,71,465,69,12,6329,293,522,220,3032,1516,34,27,665,4639,10,748,60,407,4,63,264,86,8714,404,2,8,18,5945,111,162,16,9,51,2,42,2,148,10,6,10878,30,53,27
"TCGA.EL.A3GZ.11A",687,616,27,1325,1038,153,153,105,581,682,108,481,10,194,133,5878,1010,281,241,3046,51,1822,1,5,89,622,143,4142,3466,3199,4029,89,113,16,131,2660,9,324,414,122,65,863,4580,330,49,211,207,1201,211,163,265,8,154,1115,2136,63,27,1560,1142,178,185,1,59,2515,23,4193,15,44,73,13,6681,26,35,539,18,838,306,42,28,4300,21,35,40,10,20,555,523,28,494,28855,3,35,57,253,57,110,49,1559,6,2,2216,90,556,245,815,738,63,33,85,635,6,5,2,49,207,1814,1355,130,98,15,990,13,1,735,95,268,21,367,37,11,6133,1468,947,191,3015,695,6,56,966,4749,23,988,130,896,15,10,247,69,6400,411,4,7,12,1992,135,535,12,15,90,3,34,13,133,5,12,7076,35,51,24
"TCGA.EL.A3T8.11A",863,988,21,3847,1150,221,63,341,1149,1654,181,544,8,171,306,4698,2124,447,668,3531,35,1600,16,15,99,851,126,5073,3677,7792,7021,201,198,12,374,2931,18,655,836,184,158,1402,1425,298,189,668,193,962,257,391,534,7,146,1328,3927,56,121,1042,3528,362,422,7,226,4673,40,6559,27,163,148,42,25238,121,117,457,68,535,671,131,69,7078,10,8,98,7,47,2077,674,33,1180,65311,6,124,20,579,66,181,18,1380,21,26,13593,406,926,209,1309,1148,98,73,349,990,3,47,5,441,177,4749,2988,82,259,24,2442,28,1,1681,445,476,208,771,59,23,4341,1506,1097,264,5749,1538,27,39,1714,7035,30,1917,158,1133,32,131,197,37,5251,1033,11,23,31,11741,122,175,25,21,55,7,18,28,198,12,13,9030,26,114,168
"TCGA.EL.A3TB.11A",1766,2151,59,4315,2710,315,97,460,1529,3140,445,1493,44,197,462,8773,3082,1160,818,5520,99,2716,21,20,113,1275,267,8273,6276,2667,11419,448,308,3,788,3585,42,1372,2780,311,270,2274,6292,929,114,657,385,3616,686,523,519,18,281,2780,6359,171,43,2086,4001,773,358,5,411,6124,113,10941,23,111,312,30,30107,59,172,1080,63,3681,763,122,94,11756,10,53,173,6,49,3311,1590,26,1860,77385,24,247,44,555,139,420,42,4152,7,10,12601,247,1318,540,2021,1902,156,99,203,904,6,27,23,358,360,6577,5962,213,389,95,3308,46,2,2010,315,955,129,863,136,15,12452,1782,1422,274,7572,1869,25,119,2428,15653,60,2380,254,1911,30,183,732,127,29385,884,15,21,37,14055,181,436,9,27,124,4,98,47,340,8,15,18114,61,346,144
"TCGA.EL.A3ZT.11A",577,857,61,4239,1286,189,74,183,1382,2929,173,740,17,124,190,3238,1695,199,320,1599,52,1207,6,4,80,581,103,2825,2355,1770,4191,81,128,2,398,2859,17,505,495,245,88,1365,1472,165,113,396,129,1246,384,215,262,6,69,1256,2273,67,106,601,1104,177,153,9,234,2989,64,7001,24,203,94,23,8596,74,69,498,75,1240,620,111,18,3920,7,20,15,6,17,245,651,15,894,25879,3,103,24,433,23,133,17,1217,21,12,10340,257,661,135,1360,790,61,49,248,324,2,7,4,75,139,1630,1923,159,225,28,1941,6,0,967,468,433,42,617,47,10,4506,531,670,104,3150,959,40,31,1029,4723,27,1207,153,671,25,30,241,115,4630,551,1,7,11,4442,94,245,32,7,49,7,51,31,148,5,12,5518,28,80,17
