,P
659,0.311718341
660,0.022732242
661,0.00057127
662,0.312819187
663,0.081575108
664,0.427342035
665,0.126015956
666,0.597738263
667,0.484848461
668,0.974351142
669,0.603620225
670,6.29E-07
671,0.220322492
672,0.50275971
673,0.930638827
674,0.00161247
675,0.387742037
676,0.329339762
677,0.174470321
678,0.01401992
679,0.859317562
680,0.215988823
681,0.936074265
682,0.035858282
683,0.006170746
684,0.095234292
685,0.286616263
686,0.031292491
687,0.301660744
688,0.629200168
689,0.055056731
690,0.546622769
691,0.863692661
692,0.117409404
693,0.990290325
694,0.169816243
695,0.023231558
696,0.862641365
697,0.716025719
698,0.304896102
699,0.291767047
700,0.654509717
701,0.519947482
702,0.138483272
703,0.752499964
704,0.765953215
705,0.100005296
706,0.393226797
707,0.14061729
708,0.054524397
709,0.264917742
710,0.713530282
711,0.501527607
712,0.952828025
713,0.392187461
714,0.029332113
715,0.029409611
716,0.040927383
717,0.668840425
718,0.102564963
719,0.777139046
720,0.664707978
721,0.214816321
722,0.180665321
723,0.791075449
724,0.363127571
725,0.79070298
726,0.767728421
727,0.979388688
728,0.002220578
729,0.603285296
730,0.199165792
731,0.463551559
732,0.668116618
733,0.353425474
734,0.440407552
735,0.870271239
736,0.837797667
737,0.23252455
738,0.877345879
739,0.299197379
740,0.193669087
741,0.146871979
742,0.002273222
743,0.69392217
744,0.620566991
745,0.598565157
746,0.77999689
747,0.728310257
748,0.289603097
749,0.801301635
750,0.109410312
751,0.006441246
752,0.093814694
753,0.013903458
754,0.337408018
755,0.427714259
756,0.077163316
757,0.330107485
758,0.820781125
759,0.501800594
760,0.029826906
761,0.062618877
762,0.322655514
763,0.709822645
764,0.71743138
765,0.341451033
766,0.967905499
767,0.420883295
768,0.021709475
769,0.391340928
770,0.855416927
771,0.531387661
772,0.985045653
773,0.908348504
774,0.386192387
775,0.842017027
776,0.970382948
777,0.290578503
778,0.647766553
779,0.293835831
780,0.419869471
781,0.917972288
782,0.229317449
783,0.005418134
784,0.000152983
785,0.173440072
786,0.644399931
787,0.661550571
788,0.099654274
789,0.168643505
790,0.08735187
791,0.699116334
792,0.795944203
793,0.825051158
794,0.901627454
795,0.88023134
796,0.662201635
797,0.000743072
798,0.951404043
799,0.68455569
800,0.507115358
801,0.996138806
802,0.294541239
803,0.865375816
804,0.861577828
805,0.345590187
806,0.110130624
807,0.524041993
808,0.794269746
809,0.924947912
810,0.342659412
811,0.671984457
812,0.309720566
813,0.367353137
814,0.19711653
815,0.896184677
816,0.096517065
817,0.317240591
818,0.002688333
819,0.43921574
820,0.866095334
821,0.020131744
822,0.567185925
823,0.386919177
824,0.99606926
825,0.515468182
826,0.692352549
827,0.185748803
828,0.063813406
829,0.539936954
830,0.343366606
831,0.486928924
832,0.186149677
833,0.379014779
834,0.301955546
835,0.471380125
836,0.774476352
837,0.233956073
838,0.08195966
839,0.35629453
840,0.523794314
841,0.811123773
842,0.100725017
843,0.62754697
844,0.280091895
845,0.689843661
846,0.654103594
847,0.703184862
848,0.421946701
849,0.714451224
850,0.314568658
851,0.309197484
852,0.162576497
853,0.326241662
854,0.008041742
855,0.708065417
856,0.903048017
857,0.242283751
858,0.617119537
859,0.432928528
860,0.596001795
861,0.118700623
862,0.331544813
863,0.754033567
864,0.699921416
865,0.25164988
866,0.956118827
867,0.139869376
868,0.199108117
869,0.209622806
870,0.514988208
871,0.752208488
872,0.210825327
873,0.286476726
874,0.740249673
875,0.400374273
876,0.659620676
877,0.350191972
878,0.811949623
879,0.732321823
880,0.667818635
881,0.038345347
882,0.561679249
883,0.567535438
884,0.867427011
885,0.442284368
886,0.386658595
887,0.183503793
888,0.058315546
889,0.416057193
890,0.867528824
891,0.986633509
892,0.000390635
893,5.12E-16
894,4.06E-17
895,1.90E-11
896,1.65E-18
897,2.71E-12
898,4.73E-15
899,6.13E-19
900,7.93E-08
901,1.68E-20
902,7.67E-13
903,5.65E-22
904,1.59E-19
905,1.01E-11
906,4.78E-24
907,8.38E-08
908,1.02E-15
909,8.94E-16
910,6.54E-17
911,1.31E-20
912,1.59E-13
913,4.60E-09
914,5.39E-22
915,1.16E-07
916,6.31E-27
917,2.11E-21
918,1.48E-24
919,1.40E-20
920,6.68E-30
921,5.25E-19
922,0.002863184
923,1.05E-10
924,5.17E-19
925,3.85E-13
926,4.53E-08
927,4.40E-14
928,3.39E-11
929,2.22E-15
930,1.85E-25
931,7.36E-19
932,0.004153663
933,3.32E-09
934,6.71E-26
935,5.85E-11
936,3.16E-09
937,7.49E-24
938,1.58E-18
939,2.28E-14
940,7.99E-09
941,1.65E-29
942,2.63E-20
943,1.01E-09
944,5.16E-15
945,2.85E-08
946,4.99E-12
947,1.40E-12
948,5.57E-16
949,1.03E-19
950,1.83E-19
951,1.72E-28
952,0.003445402
953,8.84E-26
954,3.26E-15
955,4.50E-10
956,2.59E-19
957,4.71E-16
958,2.63E-12
959,7.60E-16
960,5.29E-12
961,3.90E-28
962,0.000190931
963,1.70E-17
964,1.46E-12
965,2.59E-17
966,1.53E-12
967,1.70E-18
968,5.62E-27
969,8.81E-16
970,6.98E-15
971,8.50E-11
972,2.87E-07
973,3.06E-22
974,2.33E-14
975,4.94E-22
976,1.19E-10
977,3.10E-18
978,2.77E-21
979,2.26E-06
980,1.55E-05
981,1.68E-07
982,9.57E-09
983,1.04E-14
984,0.000303339
985,3.25E-13
986,5.42E-07
987,1.89E-05
988,1.21E-17
989,3.22E-11
990,1.57E-05
991,0.000370896
992,1.39E-12
993,5.39E-16
994,8.62E-09
995,6.87E-06
996,1.60E-05
997,2.55E-12
998,8.33E-12
999,0.000194496
1000,3.72E-06
1001,5.81E-07
1002,0.000341766
1003,2.21E-11
1004,0.001386144
1005,4.07E-17
1006,3.48E-05
1007,1.10E-11
1008,4.36E-10
1009,6.06E-05
1010,2.77E-06
1011,8.31E-05
1012,1.45E-05
1013,9.96E-06
1014,9.29E-05
1015,5.58E-06
1016,1.25E-06
1017,1.97E-08
1018,0.00033927
1019,7.36E-05
1020,0.000924681
1021,4.58E-06
1022,9.69E-06
1023,1.07E-08
1024,0.000123571
1025,0.000968278
1026,3.09E-06
1027,6.48E-06
1028,3.62E-06
1029,9.24E-10
1030,1.78E-05
1031,7.54E-06
1032,1.86E-10
1033,1.84E-05
1034,2.00E-05
1035,9.84E-05
1036,2.63E-05
1037,6.68E-06
1038,1.69E-10
1039,1.10E-12
1040,0.00376895
1041,7.05E-06
1042,2.73E-06
1043,0.000337057
1044,0.007349994
1045,1.54E-05
1046,3.03E-09
1047,0.001321306
1048,3.85E-05
1049,0.001035056
1050,1.05E-05
1051,2.35E-05
1052,2.68E-09
1053,3.15E-05
1054,0.027931229
1055,0.000341692
1056,0.002642946
1057,0.030461433
1058,6.13E-07
1059,0.000117689
1060,9.96E-08
1061,0.00024391
1062,3.79E-13
1063,3.00E-07
1064,0.357615783
1065,5.24E-05
1066,0.247306311
1067,0.00019944
1068,2.87E-06
1069,0.001090995
1070,0.000719388
1071,3.68E-07
1072,0.000195631
1073,1.34E-08
1074,0.01769919
1075,5.66E-06
1076,1.20E-12
1077,1.29E-05
1078,0.016460098
1079,1.68E-06
1080,6.79E-05
1081,3.25E-07
1082,5.63E-05
1083,0.000812705
1084,0.004270012
1085,4.41E-06
1086,0.001210393
1087,0.009621135
1088,0.004039339
1089,0.005929208
1090,0.071454218
1091,3.94E-08
1092,0.000376697
1093,1.92E-06
1094,9.76E-06
1095,6.73E-06
1096,5.30E-09
1097,0.001952368
1098,0.000265148
1099,9.80E-08
1100,0.011247903
1101,0.000131038
1102,4.49E-06
1103,5.26E-06
1104,0.168384128
1105,7.74E-08
1106,0.000176663
1107,4.79E-05
1108,0.029267584
1109,9.38E-10
1110,3.39E-07
1111,0.00629127
1112,0.141029381
1113,5.70E-05
1114,0.00324748
1115,0.002174331
1116,0.000756453
1117,0.000204261
1118,3.77E-05
1119,0.016046571
1120,2.07E-06
1121,0.0022405
1122,1.84E-07
1123,2.79E-07
1124,0.004585722
1125,0.003299222
1126,9.34E-09
1127,0.383546123
1128,0.05970141
1129,0.000471191
1130,0.001032267
1131,0.104922532
1132,0.093952493
1133,0.000823597
1134,0.394277525
1135,0.00110809
1136,7.14E-05
1137,0.000384685
1138,0.760147749
1139,0.061318048
1140,0.001301437
1141,0.01241271
1142,0.014556511
1143,0.013859573
1144,1.31E-05
1145,0.008470431
1146,0.005197272
1147,0.61632353
1148,0.016182185
1149,0.101418198
1150,7.82E-07
1151,0.006540621
1152,0.001341506
1153,0.189115836
1154,0.005916599
1155,0.131452322
1156,0.011768124
1157,0.009725122
1158,0.008649487
1159,9.08E-06
1160,0.005059459
1161,0.575104484
1162,0.046541633
1163,0.111887816
1164,0.018572747
1165,0.282412808
1166,0.035352126
1167,0.073891746
1168,0.20435592
1169,0.017634794
1170,0.876425509
1171,0.017984263
1172,0.758876313
1173,0.001285244
1174,0.091018083
1175,0.000979997
1176,0.200969928
1177,0.001369926
1178,0.220306671
1179,0.520998364
1180,0.093605502
1181,0.316841675
1182,0.001474456
1183,0.673037448
1184,0.028514019
1185,0.025603621
1186,0.013351325
1187,0.005670938
1188,0.417418093
1189,0.455102783
1190,0.071610884
1191,0.00646872
1192,0.000153702
1193,0.441944424
1194,0.380343042
1195,0.00763551
1196,0.266001023
1197,0.009450235
1198,0.847034895
1199,0.866844842
1200,0.859000151
1201,0.000368158
1202,0.00752348
1203,0.009574267
1204,0.000885389
1205,0.006669659
1206,0.000168422
1207,0.024745204
1208,0.041042423
1209,0.017222491
1210,0.026457883
1211,0.000346589
1212,0.007020745
1213,0.001552832
1214,0.43777542
1215,0.024254712
1216,0.010702398
1217,8.25E-07
1218,0.023314006
1219,0.043991418
1220,0.160576596
1221,0.000104326
1222,0.01162004
1223,0.029012489
1224,0.040634962
1225,0.013488187
1226,0.196102579
1227,0.417499655
1228,0.040294908
1229,0.074007715
1230,0.023343953
1231,0.001760772
1232,0.004384709
1233,0.037748523
1234,0.121308892
1235,0.017584303
1236,8.26E-05
1237,0.007246497
1238,0.037792387
1239,0.03209217
1240,0.305371308
1241,0.233563511
1242,0.000350296
1243,0.237654463
1244,0.004495489
1245,0.471247258
1246,0.000370026
1247,0.014698521
1248,0.000557419
1249,0.000673429
1250,7.91E-06
1251,2.40E-05
1252,0.066746713
1253,0.002536716
1254,0.022650594
1255,0.049646943
1256,0.019443686
1257,0.022239182
1258,0.005378306
1259,0.002401013
1260,0.104259634
1261,0.027198334
1262,0.001085956
1263,0.019886566
1264,0.040467371
1265,0.624981232
1266,0.004479806
1267,1.18E-10
1268,0.087805619
1269,6.31E-05
1270,0.017700794
1271,0.32158039
1272,0.03835852
1273,0.037815271
1274,0.049063681
1275,7.38E-06
1276,0.091879608
1277,3.92E-06
1278,0.426605958
1279,0.012854272
1280,0.12611504
1281,0.043504974
1282,0.000416073
1283,0.026097418
1284,0.017803368
1285,0.001627454
1286,0.000821338
1287,0.029244173
1288,0.28745065
1289,0.039298222
1290,0.000474865
1291,0.283311081
1292,0.172843956
1293,0.000482186
1294,2.04E-09
1295,6.52E-05
1296,3.62E-05
1297,1.16E-05
1298,0.291719146
1299,0.118988155
1300,0.016437672
1301,0.084233515
1302,9.93E-06
1303,0.041147761
1304,0.001280313
1305,0.072579555
1306,0.087077919
1307,0.017036026
1308,0.000589945
1309,0.294637932
1310,3.17E-13
1311,7.60E-06
1312,0.004611915
1313,0.064999026
1314,0.0070373
1315,0.047037206
1316,0.296940776
1317,0.002433758
1318,0.216554931
1319,2.67E-08
1320,0.000964905
1321,0.330791671
1322,0.139883699
1323,0.504780351
1324,0.000396813
1325,0.022866032
1326,1.52E-13
1327,0.01943938
1328,0.322159935
1329,0.011769181
1330,0.020917297
1331,0.030032734
1332,3.89E-07
1333,0.961182081
1334,0.00157204
1335,0.008933765
1336,0.069378974
1337,0.000711156
1338,0.034187161
1339,4.41E-08
1340,0.00020591
1341,0.001886501
1342,0.00060335
1343,0.027809431
1344,0.252948884
1345,0.635018607
1346,0.715399861
1347,0.277403458
1348,0.152218489
1349,0.712683507
1350,0.187288102
1351,0.79401397
1352,0.292919676
1353,0.373599833
1354,0.075076489
1355,0.059364676
1356,0.465415596
1357,0.100228496
1358,0.325495059
1359,0.804887138
1360,0.877790927
1361,0.744964042
1362,0.178846032
1363,0.387365202
1364,0.475683934
1365,0.12701797
1366,0.544835799
1367,0.660963202
1368,0.615931603
1369,0.838053062
1370,0.28730911
1371,0.160162886
1372,0.044185669
1373,0.021473456
1374,0.266105285
1375,0.035996107
1376,0.359112593
1377,0.02107183
1378,0.667527903
1379,0.131112512
1380,0.417098218
1381,0.487606027
1382,0.278140014
1383,0.737438283
1384,0.685189102
1385,0.2067036
1386,0.230281325
1387,0.070876945
1388,0.521327975
1389,0.035651312
1390,0.626859635
1391,0.344579604
1392,0.239645615
1393,0.35419456
1394,0.740315355
1395,0.656476022
1396,5.16E-05
1397,2.45E-08
1398,3.06E-11
1399,3.86E-06
1400,1.18E-07
1401,1.01E-08
1402,4.17E-16
1403,4.31E-05
1404,6.70E-08
1405,5.33E-07
1406,6.07E-11
1407,7.48E-08
1408,2.05E-08
1409,8.04E-07
1410,1.11E-07
1411,1.35E-05
1412,4.66E-05
1413,0.004596311
1414,6.59E-05
1415,4.48E-07
1416,9.40E-06
1417,3.23E-08
1418,1.87E-05
1419,0.000104701
1420,5.02E-05
1421,1.43E-06
1422,9.07E-09
1423,1.25E-06
1424,2.80E-05
1425,7.62E-07
1426,3.29E-09
1427,6.86E-05
1428,6.38E-06
1429,2.35E-06
1430,4.05E-10
1431,7.30E-05
1432,8.09E-09
1433,2.06E-13
1434,8.66E-08
1435,4.72E-06
1436,0.001553821
1437,1.55E-12
1438,5.13E-05
1439,1.16E-06
1440,8.49E-06
1441,1.81E-09
1442,1.72E-08
1443,0.000158989
1444,1.00E-05
1445,1.76E-06
1446,4.21E-09
1447,7.39E-09
1448,1.89E-09
1449,2.88E-06
1450,0.000100045
1451,3.08E-06
1452,6.42E-07
1453,1.25E-05
1454,0.155238021
1455,0.003087582
1456,0.035149332
1457,1.29E-10
1458,3.12E-06
1459,0.002646928
1460,0.000461898
1461,0.010686891
1462,6.53E-05
1463,0.003597439
1464,1.07E-06
1465,0.029827044
1466,0.032975745
1467,3.40E-06
1468,0.020600573
1469,0.000222066
1470,7.87E-07
1471,1.09E-08
1472,2.56E-05
1473,4.39E-08
1474,0.128365817
1475,0.000144858
1476,0.013559932
1477,0.002258576
1478,0.642916988
1479,1.07E-08
1480,1.29E-05
1481,0.021712688
1482,9.64E-10
1483,0.000320655
1484,2.92E-06
1485,4.98E-05
1486,0.130495017
1487,0.225168581
1488,1.99E-06
1489,0.486170663
1490,0.022689743
1491,0.010962194
1492,0.411267145
1493,0.761908801
1494,0.338197455
1495,0.702897148
1496,0.029919106
1497,0.81998277
1498,0.401923983
1499,0.290511228
1500,0.052399917
1501,0.178769749
1502,0.024915733
1503,0.384526583
1504,0.182842967
1505,0.181081184
1506,0.270673315
1507,0.476226564
1508,0.036591938
1509,0.220639499
1510,0.371207293
1511,0.19849541
1512,0.246761189
1513,0.032573059
1514,0.035016779
1515,0.34623491
1516,0.457142037
1517,0.426779791
1518,0.824048789
1519,0.196687389
1520,0.033149438
1521,0.998195568
1522,0.329355492
1523,0.256150156
1524,0.315310535
1525,0.304403866
1526,0.201310519
1527,0.099440522
1528,0.744631073
1529,0.593318824
1530,0.055706511
1531,0.454541278
1532,0.163608864
1533,0.05324826
1534,0.009125115
1535,0.277782299
1536,0.198418155
1537,0.459251509
1538,0.852560172
1539,0.404011882
1540,0.01064996
1541,0.162807165
1542,0.337867067
1543,0.70066083
1544,0.247718033
1545,0.24831739
1546,0.02915099
1547,0.141037189
1548,0.957943243
1549,0.244081299
1550,0.198679477
1551,0.014791764
1552,0.892812032
1553,0.786523307
1554,0.264596682
1555,0.439289197
1556,0.212673156
1557,0.272190541
1558,0.956114402
1559,0.493127705
1560,0.602163985
1561,0.618226643
1562,0.66543625
1563,0.489371199
1564,0.719203159
1565,0.792322874
1566,0.378158338
1567,0.617011479
1568,0.091247839
1569,0.257766571
1570,0.218792045
1571,0.921553431
1572,0.160259785
1573,0.32893329
1574,0.493850239
1575,0.617913066
1576,0.081698614
1577,0.034868656
1578,0.342325419
1579,0.590883396
1580,0.855773021
1581,0.90509155
1582,0.356592075
1583,0.257513864
1584,0.252429994
1585,0.016833381
1586,0.684375769
1587,0.025398668
1588,0.996801251
1589,0.063115912
1590,0.031196881
1591,0.103259351
1592,0.32305855
1593,0.264166997
1594,0.1337788
1595,0.860563863
1596,0.587678295
1597,0.200955592
1598,0.447535202
1599,0.380458839
1600,0.067557092
1601,0.233341337
1602,0.89660988
1603,0.006405421
1604,0.082206713
1605,0.607969301
1606,0.215525162
1607,0.236690434
1608,0.823561352
1609,0.707579317
1610,0.311526886
1611,0.002757656
1612,0.71435906
1613,0.191381692
1614,0.15831558
1615,0.314481015
1616,0.129769631
1617,0.11826648
1618,0.020897543
1619,0.116187435
1620,0.228850198
1621,0.823991308
1622,0.853460897
1623,0.067689892
1624,0.771360324
1625,0.809157187
1626,0.362327202
1627,0.444121793
1628,0.160596419
1629,0.216436929
1630,0.377491924
1631,0.034907659
1632,0.253244506
